wkt_geom	id	T_00to10	T_78to14	P_78to14	P_00to10
Point (-100.5721365224878241 38.17969861223549088)	1711	0.00512	0.01805	2.50303	0.4342
Point (-90.02416436292989488 42.78468704445083404)	1710	-0.0344	0.03033	3.47616	2.08
Point (-87.28103850913720407 34.60923800064051647)	1709	-0.07684	0.02208	0.89713	9.3672
Point (-112.19345943630717954 46.03513141829233746)	1708	-0.02946	0.04268	-0.86899	6.9192
Point (-82.3789724276919344 29.67941069187229175)	1683	-0.03029	0.01223	4.61308	-3.91079
Point (-90.19563124255395792 30.62049193692002547)	1682	-0.02534	0.03066	2.03867	-3.4286
Point (-101.76302371720868223 31.89223968719351632)	1681	-0.01239	0.02945	1.30089	9.866
Point (-100.30101047433366546 43.6692694113407569)	1680	-0.09394	0.01312	1.78203	3.757
Point (-86.21928371176738892 36.66733117871466874)	1687	-0.06688	0.02112	2.0247	16.1738
Point (-77.22576514647985846 39.91473868907934275)	1686	-0.00487	0.03002	1.74309	23.9128
Point (-109.4113650080754212 43.31762007701738071)	1685	-0.01534	0.0237	-0.11237	3.6102
Point (-119.9266386146346548 44.19503883135145372)	1684	-0.0257	0.02411	-0.14682	2.6962
Point (-105.42514904504588458 32.39605256592282956)	1691	0.02029	0.02801	-0.44427	-1.8518
Point (-105.1038138317439774 33.19875739113404478)	1690	0.01888	0.03354	-0.33238	-1.974
Point (-86.5534948655250389 47.38316302508492583)	1689				
Point (-87.00559127919542846 47.23038528836883643)	1688				
Point (-116.98103149358406938 46.08623258798026967)	1695	-0.02013	0.04114	-0.14056	1.9054
Point (-119.78278181964446958 43.20306803475978086)	1694	-0.03058	0.01562	-1.12871	0.5148
Point (-95.69784634572243931 45.80206079379981077)	1693	-0.09506	0.02053	2.56094	-1.4788
Point (-106.04419063291186376 48.71803708140579658)	1692	-0.10945	0.01408	1.90606	7.6548
Point (-75.68035774909351687 37.71511572329409745)	1667	0.02625	0.03622	3.76479	11.2358
Point (-95.70900778654548446 42.72008510888097987)	1666	-0.0623	0.01921	6.63516	15.1546
Point (-99.83689500263977834 39.50572880959483513)	1665	-0.04578	0.01909	1.21086	16.11
Point (-87.48618176444819028 33.47323957350944568)	1664	0.01405	0.03735	0.02127	11.28141
Point (-116.10953712251486536 35.87459090514783355)	1671	0.01204	0.03623	-2.52548	-2.0586
Point (-85.57166888490006329 41.97923702433136839)	1670	-0.02715	0.02263	0.74741	8.533
Point (-104.41099600803050862 41.68025849079693046)	1669	-0.08653	0.01828	3.23028	8.6364
Point (-95.04237706963350263 30.14247795044590106)	1668	-0.01479	0.03979	3.97314	-26.4178
Point (-82.17806620093836045 32.06342524384699288)	1675	-0.01734	0.02338	3.68561	15.12621
Point (-114.80737656518483902 39.54619828418837812)	1674	-0.05551	0.02378	0.44589	1.7532
Point (-114.19551806322748178 38.27417623628907961)	1673	-0.04896	0.0192	-3.00141	0.5896
Point (-89.01699666725417615 39.99248762981376615)	1672	-0.04032	0.02278	2.63501	11.0364
Point (-91.11121310988123412 45.61508044380218507)	1679	-0.06512	0.02383	4.87701	-7.2246
Point (-107.44191559648109546 39.91561879584246242)	1678	0.03917	0.04806	-4.04707	4.3704
Point (-121.00046297619145719 43.70891216563077819)	1677	-0.01856	0.02465	-0.33282	1.0582
Point (-90.69625852063754223 43.4343017568144063)	1676	-0.05304	0.02603	5.58333	-1.0098
Point (-108.3349333201603315 41.21848955333558706)	1779	-0.03366	0.0371	0.17333	4.3838
Point (-106.26447027985811644 34.54706280322761813)	1778	0.01261	0.02989	-0.54499	-7.1096
Point (-77.75830079792127947 37.75330019150904093)	1777	0.00645	0.02195	2.19752	11.08381
Point (-115.39191736960290768 40.57590128021274722)	1776	0.00596	0.03992	-2.67438	7.4216
Point (-100.1008685748753777 41.7099335648861711)	1783	-0.06429	0.02599	0.48942	12.886
Point (-114.81454952996249119 33.04089777101133052)	1782	-0.0132	0.02126	-2.03316	4.5164
Point (-97.30105472544146039 37.4021541603683545)	1781	-0.02648	0.01425	5.57021	1.4412
Point (-110.14769415658895468 37.21710619968376221)	1780	-0.05608	0.01363	0.26353	0.3262
Point (-114.92486034416386076 48.04413251785211969)	1787	-0.04585	0.03266	1.14662	6.455
Point (-114.73773778763694509 36.15796847469078301)	1786	-0.02817	0.03233	-1.16123	1.5464
Point (-89.10172495965227313 42.14146206818924156)	1785	-0.03858	0.0345	0.81372	10.1612
