wkt_geom	id	T_00to10	T_78to14	P_78to14	P_00to10
Point (-90.83508637839088351 31.00574491836743718)	9500	-0.01537	0.02872	5.25918	15.25381
Point (-98.39149509198588817 48.60694893016546558)	9475	-0.07752	0.01785	2.97811	8.5
Point (-108.46867443214382831 36.50907258441117875)	9474	-0.04809	0.02692	-0.28101	-2.4492
Point (-84.27944168099791966 35.51771549370239001)	9473	-0.00509	0.03345	2.16421	10.21699
Point (-88.31364560355555682 45.86776921673450147)	9472	-0.05164	0.01928	0.85287	-9.6452
Point (-81.03456757174319591 35.18253361934728929)	9479	-0.00089	0.02306	-1.56157	14.77
Point (-100.0567690291573939 30.85786179946320829)	9478	0.00037	0.01206	0.95952	-12.1884
Point (-109.67866649998286732 34.94136415496299009)	9477	-0.02523	0.02884	-0.972	-1.9218
Point (-90.79610150480898767 29.5831937026167644)	9476	-0.0506	0.02245	7.54739	15.863
Point (-100.61259128516630312 31.45391894914030928)	9483	-0.02062	0.02103	2.53164	4.3594
Point (-112.12622386569023547 38.7164913831361801)	9482	-0.05189	0.01395	-0.38141	-2.6068
Point (-70.0298687561895008 41.96265957796333623)	9481	0.01882	0.03373	1.22228	8.0902
Point (-89.26379125471984821 36.84607226205193342)	9480	-0.01317	0.02394	2.66968	0.8562
Point (-117.38382364731467078 36.59548099987803482)	9487	0.04125	0.07686	-2.93556	-1.7846
Point (-108.50395728487210079 38.00211506963532315)	9486	-0.01459	0.02389	0.3103	-3.032
Point (-106.57933825983738529 37.54120987979352719)	9485	0.07175	0.05165	-5.95609	-2.2856
Point (-114.2219950560182582 46.87207126017601411)	9484	0.00625	0.05089	-0.54993	2.2384
Point (-88.32623214071348627 39.35455816657021444)	9587	-0.03937	0.02905	4.67519	16.9208
Point (-114.36850610721570831 43.3805451630747001)	9586	-0.01631	0.03943	0.08771	3.23
Point (-95.47727343707477132 39.64517614553254532)	9585	-0.09171	0.01038	2.23912	4.5618
Point (-123.60200252713016766 41.66789541865125557)	9584	-0.02103	0.02811	11.73589	-2.31541
Point (-99.92485664648420141 31.08162299130593453)	9591	-0.02861	0.00726	2.10349	-3.4002
Point (-95.22751665627802709 39.78097832693922697)	9590	-0.0747	0.01796	2.32168	8.9844
Point (-103.17694436274257441 36.22315669064408894)	9589	0.00783	0.01723	1.67667	-4.2334
Point (-83.57534819892561018 33.52556190415817383)	9588	0.00186	0.02478	0.62	12.48601
Point (-110.80264341675106721 46.94537117753267808)	9595	0.03699	0.04294	-1.38917	12.8246
Point (-106.90009559792144955 45.6891237044848566)	9594	-0.08039	0.03228	1.29567	11.918
Point (-96.27559599898150111 46.61007858465622178)	9593	-0.10058	0.02417	5.05555	6.5774
Point (-118.83687890699938805 36.07029464425208687)	9592	-0.00011	0.02381	-1.51251	-0.9514
Point (-84.18067177173489313 36.41643272936146047)	9599	-0.01757	0.03216	0.14206	-4.19581
Point (-96.78643154683378214 40.42228679739143615)	9598	-0.08482	0.00971	0.46938	-1.9246
Point (-103.21806834827765442 38.06673149206885398)	9597	-0.042	0.01626	-0.99044	-0.451
Point (-84.87995574630929241 39.567079152859435)	9596	-0.02282	0.03888	-0.4516	4.47521
Point (-104.11248133929126425 48.0022070869127333)	9571	-0.07361	0.03388	1.79546	9.4728
Point (-81.24030105087005893 32.33327132832736339)	9570	0.00749	0.02221	2.84487	2.28101
Point (-78.05062205401453923 41.30604948518778485)	9569	-0.01537	0.03202	-2.63378	18.2522
Point (-111.94711703741137399 35.76389342812196759)	9568	-0.02157	0.02446	-1.7653	-1.6404
Point (-101.05595897082491774 45.049350491470328)	9575	-0.10953	0.02123	0.92543	10.8902
Point (-85.56453905766178991 33.7206679898095274)	9574	0.00194	0.03185	-2.42216	7.85339
Point (-91.591378262451002 36.0278504976217846)	9573	-0.06773	0.00094	3.4137	24.31559
Point (-97.53947817524927189 32.01891510411873298)	9572	-0.01239	0.01753	6.23099	-8.03441
Point (-111.33684184321988653 44.15985736555999353)	9579	-0.02545	0.02417	0.48431	5.3214
Point (-99.0787289411343437 31.21520304643306076)	9578	0.00226	0.02107	3.26296	-6.2172
Point (-93.7078995512509465 33.64502011081208366)	9577	-0.00479	0.01414	5.9445	-4.36581
Point (-93.30660173344217867 46.68421392005137704)	9576	-0.08195	0.02406	6.17482	3.558
Point (-123.94313954395329347 40.43000485818407697)	9583	-0.01234	0.01801	3.36691	-12.6058
Point (-116.98584667167602902 44.02816011817363062)	9582	-0.04659	0.03426	-1.72679	2.2026
Point (-78.23064852115950885 41.70365584651869995)	9581	-0.02258	0.02969	-0.2086	10.979
Point (-121.99710949438282626 42.28450521981211807)	9580	-0.04611	0.01738	1.74943	-3.4798
Point (-108.33154712581708168 38.10826992740201291)	9555	-0.05426	0.01695	1.21446	-4.7344
Point (-116.5656258389583968 44.52165935324794077)	9554	-0.03644	0.03358	0.13988	-1.1812
Point (-88.38354955576795646 39.36786823480238695)	9553	-0.0434	0.02818	4.72388	17.1156
Point (-96.30950393675595933 28.88110540867481291)	9552	-0.00834	0.02542	1.01761	-13.38859
Point (-101.9711374709945062 33.37040474560265579)	9559	-0.00363	0.02819	1.93847	1.7758
Point (-111.89158976015535529 42.18212922051016989)	9558	-0.03813	0.04394	-0.02843	2.1466
Point (-92.43190627982846763 45.06086146189333164)	9557	-0.10005	0.02128	2.20565	-9.3906
Point (-92.54833998082992252 44.8736023181589303)	9556	-0.08804	0.01038	3.12622	-10.814
Point (-82.06865506647577035 36.34212400581845515)	9563	-0.02838	0.02752	-0.66081	-8.58059
Point (-98.45614592071004267 45.62288974393503338)	9562	-0.08262	0.02183	2.40619	7.9342
Point (-84.23112763239078049 38.50448465307621859)	9561	-0.03713	0.03563	3.76132	22.054
Point (-91.69629287067999712 39.44664920211271664)	9560	-0.05602	0.01803	4.35574	18.3692
Point (-98.14105010389373263 35.10973059586297751)	9567	0.0152	0.0035	5.15783	-9.1032
Point (-121.88308029489111561 38.44294344766692006)	9566	-0.01365	0.02551	-2.46269	-4.3398
Point (-106.02361985070588446 33.75123583800584015)	9565	0.01722	0.03287	-0.44201	-2.0584
Point (-113.47229211302972374 32.9301574132483168)	9564	0.02212	0.05039	-0.80679	2.5954
Point (-96.66134581986479191 41.49376484465884118)	9539	-0.07553	0.01911	4.50482	2.3452
Point (-116.91596355917768335 39.90652077434276634)	9538	-0.02162	0.03245	-0.96757	-3.5962
Point (-77.76420350285602012 41.3890234557307366)	9537	0.00739	0.03467	-1.43828	16.15861
Point (-87.43880632218963456 45.69840402123301715)	9536	-0.05149	0.01629	0.61647	-9.434
Point (-119.21346337414821903 44.78987372925973887)	9543	-0.0288	0.03515	-0.80564	2.6542
Point (-104.20023241618005727 47.14140836255684519)	9542	-0.08929	0.02794	3.12442	6.7926
Point (-99.5589796885924585 32.95444344265983716)	9541	-0.0155	0.01341	2.68167	-5.7654
Point (-90.36359430131571457 42.43252034907492742)	9540	-0.05078	0.01764	3.36301	14.7012
Point (-110.81325911463163436 33.17428159101268648)	9547	-0.01672	0.02218	-4.14022	9.4024
Point (-108.21463984248470069 32.38317888966292912)	9546	-0.04369	0.02043	-0.19821	-4.4382
Point (-80.42002953225659212 25.71033759948264219)	9545	-0.0098	0.03146	2.28188	-2.4688
Point (-95.53855121406633089 36.66595812995076642)	9544	-0.0584	0.00107	4.6536	-1.03101
Point (-92.22680485053669486 34.59891174070283171)	9551	-0.0289	0.01839	1.34174	32.07999
Point (-103.74942069564662006 37.8877805267189629)	9550	-0.08424	0.01092	1.17296	1.0954
Point (-114.60383172880656844 32.56241843767902822)	9549	0.02132	0.05824	-1.18212	2.6522
Point (-90.4334760594707916 39.02487237349595262)	9548	-0.02549	0.03498	6.56446	10.0214
Point (-105.1868215478164359 39.35348638616964223)	9395	-0.01583	0.0205	1.51849	-0.8062
Point (-90.80987850156084562 39.15850972205229397)	9394	-0.03758	0.0488	8.01466	8.41379
Point (-107.67025369617644515 46.45696547796228515)	9393	-0.02713	0.02826	0.85642	16.4518
Point (-91.25990752134654826 36.04706954070188374)	9392	-0.06478	0.00485	3.17705	23.55681
Point (-108.7208443060606271 37.29248062211076586)	9399	-0.02198	0.02778	-0.81999	1.651
Point (-94.4720492553707345 35.04361180849504365)	9398	-0.01337	0.00949	0.39565	-21.49319
Point (-118.288873523979575 42.16844730663638074)	9397	0.02248	0.03701	-0.50453	0.8758
Point (-81.17849708345869431 39.1094660489046575)	9396	-0.01415	0.02213	1.08858	15.713
Point (-81.07541628881986639 34.37746439219779404)	9403	0.00482	0.02644	3.7633	5.99401
Point (-119.41518213999508191 47.80699953880203878)	9402	-0.0611	0.03571	0.84627	2.4256
Point (-94.90867372382430744 30.26863499667918234)	9401	-0.02287	0.03745	2.2758	-29.9016
Point (-110.33391217199341838 47.63012691371483243)	9400	-0.11272	0.03003	2.06458	9.8806
Point (-89.63579228376252672 41.79286664050692224)	9407	-0.03882	0.03531	2.46586	4.358
Point (-103.8058850416017691 38.67999320412602771)	9406	-0.02944	0.01625	-0.72701	-3.137
Point (-119.16808732982943297 45.18569275179982725)	9405	0.00994	0.03846	0.04567	15.876
Point (-111.20562646148988506 36.20950590301703187)	9404	0.01898	0.02538	-0.42362	-1.3918
Point (-88.8714452706114173 35.00901215735137129)	9379	-0.05325	0.02297	-1.89215	5.075
Point (-122.22336483708714638 44.26418557424926803)	9378	-0.04672	0.0229	10.18043	26.3982
Point (-95.69280902851801329 28.88299072360608477)	9377	-0.01433	0.02983	0.36799	-18.41121
Point (-96.06823336482698039 42.66992322072832167)	9376	-0.08294	0.01009	5.53872	12.7634
Point (-93.65052311360790327 45.95041125973354212)	9383	-0.0726	0.02558	5.3422	6.6388
Point (-76.96486784202886611 37.45840857658598111)	9382	0.01543	0.02732	2.23228	7.4426
Point (-75.38674480137552791 44.32230884780602764)	9381	-0.01409	0.03089	-0.12037	20.8732
Point (-116.25794329566305407 37.87327927645527836)	9380	-0.00319	0.02684	-1.73488	-1.9248
Point (-118.73180356981049499 46.58774915445548714)	9387	-0.03668	0.03437	0.05749	5.1586
Point (-122.01183911464093512 47.32245591455623668)	9386	-0.03187	0.02319	1.64915	-7.3954
Point (-116.97859175803942833 44.68898479087010145)	9385	-0.00498	0.03696	-1.22004	3.674
Point (-116.44350843977207433 33.06167218909287442)	9384	0.02976	0.04483	-8.18759	8.4422
Point (-78.22344083165492634 38.73201012475583838)	9391	-0.02504	0.03007	-1.49888	-14.3666
Point (-121.13147997357350505 44.25053246546082164)	9390	-0.02153	0.01917	0.02432	1.3106
Point (-119.29960455848821255 45.09367081266634614)	9389	0.00773	0.04231	-1.40037	7.823
Point (-74.14567180197543905 43.73147512083821198)	9388	0.01462	0.03375	-3.96307	7.09641
Point (-77.64177302247809109 35.24486949770216171)	9363	-0.01172	0.03116	6.18645	-4.9894
Point (-99.9796090400519688 37.0011148060536641)	9362	6.00E-05	0.01142	1.89504	-9.5108
Point (-106.38818096097230637 34.06635323397240001)	9361	0.00786	0.02626	1.64206	-4.1512
Point (-88.76151374914195458 35.87355936955735558)	9360	0.02828	0.03569	1.34015	2.09761
Point (-104.92994566688498992 45.5669508192296604)	9367	-0.08705	0.0366	1.36415	8.556
Point (-105.18314251924516611 48.77061764635480756)	9366	-0.09298	0.01098	1.36117	9.9358
Point (-97.71862198393461085 47.94294854957319529)	9365	-0.08618	0.02163	4.45953	5.1624
Point (-99.08303593124003328 39.81391337169662137)	9364	-0.09029	0.01306	-0.50805	13.2244
Point (-73.5014295511063267 42.91162919005542165)	9371	-0.00684	0.0258	1.7275	20.3012
Point (-105.48682796533843486 47.96322166514428886)	9370	-0.09824	0.02292	1.17263	9.382
Point (-117.00238766704462989 47.95346315051147457)	9369	-0.02243	0.03586	3.8953	12.7526
Point (-74.15645384195946122 41.0127859912157291)	9368	0.01395	0.03913	-3.7746	25.03879
Point (-112.95839796122575649 47.79997959105227778)	9375	-0.01025	0.02927	-0.27831	7.09659
Point (-100.03372349385331574 40.17805521235644051)	9374	-0.10531	0.00708	0.88963	15.6268
Point (-102.16733628804074385 46.8572162797588021)	9373	-0.10702	0.02179	3.21217	3.0814
Point (-87.85041554214583925 39.68157654969387238)	9372	-0.05109	0.02153	3.38518	12.9506
Point (-99.43183008085094343 48.99363134999269676)	9347	-0.06113	0.01499	2.96853	1.9956
Point (-99.60995956655997929 35.48375309058893379)	9346	0.04236	0.01872	0.57656	-9.3472
Point (-117.25285130174097503 46.00253211277620835)	9345	-0.00683	0.04732	-0.18572	6.1606
Point (-109.15168907158994216 32.37305028981589317)	9344	0.00835	0.02704	-0.31467	-1.0536
Point (-114.62062398366873595 44.36697419868758629)	9351	-0.00125	0.03754	-1.00206	7.416
Point (-85.37617360156356483 38.89471202211920797)	9350	-0.03055	0.02761	1.36704	8.47881
Point (-91.91513618782161643 45.24121829521393323)	9349	-0.08024	0.02494	5.1165	-14.9752
Point (-77.8183904799892332 42.98603821140326886)	9348	-0.01406	0.0327	0.10936	13.9522
Point (-96.61669364650660441 48.68512750126473776)	9355	-0.08498	0.02731	3.74068	0.8498
Point (-110.78238978658636427 35.11478699788465718)	9354	-3.00E-05	0.03128	0.65978	-2.1854
Point (-86.50124564088642387 41.84154246667179677)	9353	-0.0446	0.01809	1.18535	17.7062
Point (-108.55196396648548784 32.82991255905091066)	9352	0.00406	0.01232	-0.44261	0.162
Point (-97.86980917421402637 43.86185439410576237)	9359	-0.08108	0.01689	3.60351	11.2428
Point (-94.72037984006880151 31.56460154839080445)	9358	-0.01164	0.02112	8.51648	-16.9764
Point (-98.31636609565818219 40.14181088032574252)	9357	-0.09875	0.02179	0.42418	9.2638
Point (-109.11871047011696589 39.44691571246492856)	9356	-0.04159	0.02371	1.18738	3.9046
Point (-95.15011157949788867 47.49556804192548753)	9459	-0.07149	0.02002	1.08923	-2.8394
Point (-97.68506030235084836 26.7057473126268512)	9458	-0.00462	0.0354	1.78796	4.8352
Point (-76.0142719387554564 42.06623578636444449)	9457	0.00155	0.02746	-2.40535	18.48019
Point (-101.10399939347146869 31.09661071279518296)	9456	-0.01739	0.02293	2.25173	-1.2188
Point (-81.60550474207522598 28.00166072817673779)	9463	-0.0042	0.03429	3.08543	8.33539
Point (-87.64099724172149308 34.97018422512504543)	9462	-0.05817	0.02083	-3.73446	-10.18101
Point (-103.99796503320330032 42.59737987141549809)	9461	-0.04033	0.02705	0.76736	1.9998
Point (-117.12775309087521691 46.26309589558776736)	9460	-0.01504	0.03978	-0.16595	3.3224
Point (-87.65931914810312264 36.14220396042131256)	9467	-0.02474	0.03574	0.17782	11.1114
Point (-95.73650751497626743 40.51793079035304146)	9466	-0.08202	0.01522	1.86006	6.7348
Point (-98.84851893794437672 48.54095662118105281)	9465	-0.08842	0.01678	3.2834	4.7274
Point (-95.76870138023021184 43.49837760126609965)	9464	-0.05886	0.02092	4.49943	16.0556
Point (-98.43295607549612214 28.1037733674586967)	9471	-0.01186	0.02802	3.32253	-9.2026
Point (-104.27629355026303415 43.8766078051938706)	9470	-0.04953	0.02264	0.33205	-3.8022
Point (-104.14346191591539537 33.13934314620502164)	9469	-0.02564	0.02713	0.27612	0.3786
Point (-111.09612647533725749 36.11185857314796266)	9468	0.00632	0.02568	-0.2482	-1.242
Point (-100.18522583755182609 37.63003331430108744)	9443	0.01913	0.01459	4.28972	2.7686
Point (-113.86136541861712601 40.13455428036419903)	9442	-0.01839	0.01822	0.54213	2.4042
Point (-104.13364798895038632 42.67762146512873755)	9441	-0.03674	0.02591	0.70222	-0.3506
Point (-101.31742933775377935 38.75645785984124814)	9440	-0.01273	0.01354	1.22262	10.714
Point (-89.79352003821404082 47.77156734587192943)	9447				
Point (-103.84275656723525572 32.51209133681670238)	9446	-0.0186	0.02849	2.48719	7.3848
Point (-83.24664153764018693 38.6032270097528496)	9445	-0.05672	0.02333	-0.75516	18.0812
Point (-107.16370025147890033 37.58292004176549739)	9444	0.04139	0.05071	-2.57645	1.5944
Point (-84.58049217281720189 44.677659848100717)	9451	-0.05238	0.03107	3.94306	7.2044
Point (-82.5951981340832333 34.84069851242136906)	9450	-0.01149	0.01391	-0.81799	7.25839
Point (-81.14022904887386289 25.46090055797414564)	9449	-0.02255	0.03619	0.77395	-13.7332
Point (-108.21371469154713907 33.3533770166922281)	9448	0.05292	0.05139	-0.55553	-3.856
Point (-99.08733571592222233 28.63071804855009006)	9455	-0.00573	0.02953	-0.32406	-23.1918
Point (-96.01100398959573567 39.05543818577638859)	9454	-0.08194	0.01703	2.22538	-1.6942
Point (-106.34908031505082704 35.06859973147342657)	9453	0.011	0.0181	-0.28999	-3.8066
Point (-78.96182656622224272 41.59771602796122636)	9452	-0.00317	0.03577	0.29179	20.5986
Point (-92.16882496690021753 44.43512327392151917)	9427	-0.09359	0.02065	4.24092	-8.27839
Point (-96.87211836494985562 32.63941788685885115)	9426	0.01586	0.01946	5.25287	-4.1074
Point (-84.51435379505201695 42.58305894752134435)	9425	-0.02523	0.02857	3.74306	14.8804
Point (-78.82135902627084079 37.7477187040733142)	9424	-0.00872	0.01871	0.17134	6.23101
Point (-101.72935131468432246 33.2992663916950562)	9431	-0.00899	0.029	2.51337	6.3276
Point (-113.90820219935977775 35.82907714158919532)	9430	-0.06386	0.0406	-2.20537	-0.4504
Point (-124.10137088455087451 43.84108254808545269)	9429	-0.08445	0.00123	6.42685	9.4092
Point (-119.47413933593557545 42.42257990817077484)	9428	-0.01675	0.01764	-0.42944	0.3722
Point (-90.30582183668769858 30.27032354869745134)	9435	-0.01419	0.03296	-2.4363	-20.5752
Point (-92.3034440168909498 34.63413129415668834)	9434	-0.02202	0.01957	1.92659	32.8592
Point (-99.58770654699722513 38.34938136973764244)	9433	-0.026	0.01202	2.82351	-3.026
Point (-108.24337559864457603 42.28981444053106031)	9432	-0.01337	0.03318	0.04731	1.8536
Point (-108.17299940374135758 37.45199309613495586)	9439	0.03614	0.0354	-1.50182	3.3484
Point (-90.31996876429266763 32.39667219437338019)	9438	-0.0089	0.03105	3.04409	3.68781
Point (-99.80344560449665892 47.9957856422715281)	9437	-0.11927	0.01096	1.8754	3.2294
Point (-96.03640626859547069 39.74576631632171342)	9436	-0.13227	2.00E-05	1.74182	-1.4882
Point (-105.05720350984874756 32.29752184507219681)	9411	-0.00953	0.02671	-0.22876	1.963
Point (-108.56078236168414719 38.39802048350563268)	9410	-0.02282	0.02451	-0.88722	0.0158
Point (-112.99577043728758952 44.82798079215264409)	9409	-0.04989	0.0243	-1.46222	1.7674
Point (-94.08935852525515031 38.8665427421423999)	9408	-0.04288	0.0217	2.34307	6.2926
Point (-103.45552851797253879 35.89184429469775495)	9415	0.00663	0.01428	1.38609	-2.0784
Point (-88.83267689757852281 34.60888631396557003)	9414	-0.05641	0.01968	0.37792	7.3238
Point (-123.70031061532819194 40.54073893221977443)	9413	-0.01731	0.02942	13.04811	22.62542
Point (-72.70677168239436128 43.36622879436488631)	9412	0.01301	0.03697	-1.8881	20.4144
Point (-118.96602238295174914 40.37044422885723094)	9419	-0.00276	0.03554	-1.1527	-7.0428
Point (-87.51946946215281287 41.01838746279059933)	9418	-0.05383	0.02737	5.37194	8.13279
Point (-88.08764577452376443 35.35276265585856947)	9417	-0.04528	0.02132	-4.56298	6.84
Point (-88.86546042622741481 46.71739835696311616)	9416	-0.07871	0.01162	2.23182	-9.8662
Point (-115.56022255789346787 37.4508741005853949)	9423	0.00853	0.0222	-1.14828	-0.8068
Point (-110.38009389894109802 38.02250107460049122)	9422	-0.07606	0.02305	0.65243	0.2706
Point (-81.83045672331213893 35.82115364054621409)	9421	-0.00875	0.01423	2.25653	20.9156
Point (-98.85862243662977278 33.64856113053276943)	9420	0.02467	0.02499	4.13693	-2.0364
Point (-112.80781517542834536 47.02010685893445441)	9267	0.01725	0.04944	-3.98363	3.7492
Point (-109.73390794241078083 34.34617119260245488)	9266	-0.02148	0.02428	-2.19126	1.7532
Point (-107.45554215145227772 39.59060179730936113)	9265	-0.04853	0.02599	1.01172	2.1458
Point (-121.84899677299193854 44.73620046367609859)	9264	-0.03289	0.01395	9.3932	14.9938
Point (-118.60460762611960206 36.75672191190020044)	9271	0.0279	0.07037	-7.25075	0.3394
Point (-108.59002136728410903 41.69896941015258562)	9270	-0.01551	0.04101	0.19797	5.117
Point (-97.79654663200608411 47.69038915718719807)	9269	-0.09952	0.02	2.36968	5.466
Point (-99.216929269713944 36.46354128461149458)	9268	0.00998	0.00838	0.18769	-15.04321
Point (-76.89970613165493774 35.65601851663608812)	9275	-0.00953	0.01886	6.16961	1.73359
Point (-107.1083008909423171 46.31547434653327855)	9274	-0.0768	0.03138	1.36601	10.3576
Point (-90.02651375504692055 39.47483562165137272)	9273	-0.04052	0.02371	6.3573	16.86381
Point (-110.71692809981053074 45.35492269782739783)	9272	-0.02573	0.03111	0.82667	10.0788
Point (-97.70266470231655376 42.69452864512528123)	9279	-0.10245	0.0211	1.86294	5.837
Point (-95.78224892092028142 29.32908719132948505)	9278	-0.0177	0.03223	5.0307	-24.8096
Point (-96.78721183633987835 42.41731565506314894)	9277	-0.11447	0.02211	5.18015	4.0522
Point (-119.2715029112573859 41.07568320873807011)	9276	-0.00363	0.0372	-0.67613	-1.4076
Point (-99.34502707588688963 45.47795515592960669)	9251	-0.09067	0.02272	1.26752	4.3122
Point (-120.33770092300547105 41.53019824216201528)	9250	0.00233	0.03485	-0.39534	-1.5508
Point (-109.60536423941701401 48.67067320977729139)	9249	-0.11423	0.01896	1.55309	3.625
Point (-80.23773922482250498 38.02222233060595613)	9248	-0.00415	0.00783	2.07679	4.86739
Point (-118.64184349949610464 45.19818217145995476)	9255	0.01239	0.04433	0.30213	10.1336
Point (-109.51006068936089832 37.86181905455642038)	9254	0.0111	0.02781	-4.15062	5.356
Point (-103.87140790994625661 36.34216745064593113)	9253	0.00064	0.01543	0.70274	-7.1048
Point (-76.44018313238564133 35.49272308889698735)	9252	-0.04098	0.01686	9.38019	6.70659
Point (-96.60658997629624878 30.16460847086287345)	9259	-0.01555	0.02625	5.14795	-31.9388
Point (-90.12424044441746673 31.64015266729136755)	9258	0.03604	0.05942	2.54764	-1.2056
Point (-119.49373130605331994 36.15321848327391763)	9257	-0.01351	0.0335	-2.45488	-1.4188
Point (-119.47530230326047729 40.11766133622105457)	9256	0.02569	0.04946	-0.48277	-4.7562
Point (-90.33140345689308504 44.72616334000571214)	9263	-0.05031	0.02957	2.85203	-1.6308
Point (-77.88897597432213615 36.07152041740040005)	9262	0.0046	0.02011	4.61596	-8.617
Point (-115.15815057359630202 39.50267969917428701)	9261	-0.04979	0.03257	0.27578	1.9938
Point (-81.33611705547772885 27.48970401978808198)	9260	-0.02508	0.02911	5.86288	-8.4314
Point (-101.33454254214220214 42.98179736266340001)	9235	-0.0674	0.01927	3.29436	7.3438
Point (-96.43351643602800038 31.63326858636616024)	9234	-0.01938	0.0164	4.14799	-9.9912
Point (-113.60788982948172077 32.65865953457510074)	9233	0.02082	0.05279	-0.42757	3.5748
Point (-80.9050107084641752 34.33825601051125176)	9232	0.00562	0.02586	-1.73804	1.084
Point (-124.16708151943424809 40.87600921009231314)	9239	-0.04048	0.01752	7.85064	-6.51219
Point (-80.23154839254729609 39.1647381744674945)	9238	-0.00856	0.03735	-0.37631	17.20601
Point (-78.32371830962986792 37.95161852337675867)	9237	-0.01141	0.0154	2.46661	21.2598
Point (-96.84066940902664555 35.09598564548240063)	9236	0.02317	-0.00152	8.1673	-3.8714
Point (-99.37389489630950834 29.37015200266793613)	9243	0.0077	0.02498	0.72555	-20.13
Point (-107.55646321372661589 39.66650962982866702)	9242	-0.00263	0.03995	0.91057	1.2692
Point (-104.98381099574618247 31.8304817563598057)	9241	-0.00368	0.0212	0.95641	4.8738
Point (-99.34679840538029794 30.97455487602296031)	9240	0.00127	0.02184	2.28994	-6.3532
Point (-84.01857045795291867 40.24428439151031967)	9247	-0.03333	0.02977	2.74143	12.7884
Point (-103.23024701801473668 47.04092686994563621)	9246	-0.08381	0.02504	2.53133	3.7492
Point (-102.57176297547493959 40.16298830464975822)	9245	-0.05405	0.01167	3.31006	11.782
Point (-95.73201421483067008 36.80237351788640865)	9244	-0.04839	0.00288	3.38071	-3.14059
Point (-82.83632375234617484 37.63719636529453538)	9219	-0.07317	0.02566	4.03261	13.1356
Point (-100.34596768285712187 36.28389316013554122)	9218	0.01953	0.0217	0.3926	-8.6834
Point (-115.87590814170381748 43.01307861695545398)	9217	-0.02274	0.024	-1.50921	3.1032
Point (-105.05541257296422941 31.24084766513492895)	9216	0.03521	0.02782	-0.93481	2.8124
Point (-114.59471826058877753 42.21264808535607926)	9223	-0.01676	0.029	0.47811	4.9198
Point (-82.6615547386963101 30.6637724290477145)	9222	-0.01809	0.03172	0.78341	11.54879
Point (-100.96969757862387951 34.19381483893393181)	9221	0.02528	0.01652	3.4703	7.8684
Point (-96.98504247297640291 29.98318497269502814)	9220	-0.0188	0.02622	6.10987	-26.91979
Point (-90.35989910606704711 35.57620267774434808)	9227	-0.02353	0.02337	3.42063	-3.4692
Point (-77.22757701337630465 43.25266709022817224)	9226	-0.00806	0.02638	1.48759	19.6998
Point (-110.09910435829338837 40.5328233265740181)	9225	-0.03241	0.04383	2.11977	2.3316
Point (-106.907959419351414 46.40828335556174267)	9224	-0.09071	0.03175	1.30926	9.154
Point (-119.41598329310193094 39.39429520533786189)	9231	-0.02327	0.04318	-1.06466	-1.2676
Point (-94.00558403394458651 40.56998866445859164)	9230	-0.05935	0.0216	2.48661	20.47561
Point (-116.53320069140583826 33.68540373215412842)	9229	0.0323	0.04687	-5.9315	7.9632
Point (-96.43566903344954255 28.8482629052498325)	9228	0.0004	0.02411	-1.97841	-19.06079
Point (-77.06762899229730124 37.3279544563601462)	9331	0.00557	0.02509	2.45137	6.57019
Point (-100.56108664810334119 43.46564167136898504)	9330	-0.10005	-0.00228	1.33052	5.989
Point (-116.68830814053237077 41.95131547368457348)	9329	-0.00668	0.03208	-0.67773	2.4504
Point (-70.60368953098003431 45.32862632655936608)	9328	0.00172	0.03415	1.06765	20.34661
Point (-84.59168668222156384 42.36965581384960444)	9335	-0.02856	0.02371	2.99473	12.27421
Point (-115.52743883559438132 40.19985920210826436)	9334	0.03761	0.03612	0.55856	5.3496
Point (-71.68903221225264133 43.24955984531848685)	9333	0.00592	0.03514	0.63593	16.7048
Point (-96.33597331698616983 46.71530553704967303)	9332	-0.09565	0.02769	4.96128	1.887
Point (-109.13905345507744471 41.78645908451751723)	9339	-0.01329	0.03451	0.46133	1.9852
Point (-117.11864564966154489 42.68532464839992713)	9338	-0.02291	0.03734	-1.33233	4.0532
Point (-112.71063319138930581 38.84274098690610799)	9337	-0.05754	0.01908	-0.22408	0.666
Point (-110.60481787471238135 31.38543698600183518)	9336	0.0362	0.03681	-0.01961	-2.804
Point (-88.05072415293857091 31.53695230110044534)	9343	-0.03676	0.0155	-2.56435	3.9688
Point (-102.27636236421780325 45.58432299462013759)	9342	-0.12848	0.02959	2.95472	8.8406
Point (-69.34437402621622937 44.40491155854817151)	9341	0.00084	0.02103	1.8999	29.2854
Point (-113.53038778609258941 39.49350338652410386)	9340	-0.05046	0.01672	-0.47118	1.7528
Point (-102.94750836797123839 44.23017923463788748)	9315	-0.06528	0.02012	0.6471	6.1938
Point (-86.70996893006861228 46.43404694995703608)	9314	-0.0096	0.02481	1.80917	2.4344
Point (-99.98664566332831782 38.70684302007002486)	9313	-0.02568	0.01609	1.59654	0.12679
Point (-106.35879352231042105 32.95094878383781634)	9312	-0.01559	0.02196	-0.23832	0.0838
Point (-105.22325697342719764 40.41862921066365288)	9319	-0.01311	0.0227	0.46761	0.6344
Point (-117.16623066695950683 46.4479863390888994)	9318	-0.01378	0.03784	0.52057	3.2962
Point (-84.26377361915284325 43.73952994236369562)	9317	-0.07615	0.01887	3.46402	9.8188
