wkt_geom	fid	id	T_78to14	P_78to14
Point (-94.16299870000005967 38.52391490000000118)	82	81	0.0247	127.36462
Point (-94.28799880000003952 38.35724809999999962)	175	174	0.02473	213.04089
Point (-94.45466560000001266 38.27391469999999885)	219	218	0.02479	165.43524
Point (-94.20466540000005295 38.56558160000000157)	57	56	0.02482	125.68701
Point (-93.78799840000012011 38.23224799999999846)	259	258	0.02484	218.87085
Point (-93.8296651000001134 38.27391469999999885)	234	233	0.02486	189.66577
Point (-93.57966490000015369 38.27391469999999885)	240	239	0.02496	234.323
Point (-94.0796653000000731 38.48224820000000079)	108	107	0.02496	145.62628
Point (-94.16299870000005967 38.56558160000000157)	58	57	0.02499	106.13586
Point (-93.95466520000009325 38.39891480000000001)	159	158	0.02502	175.95782
Point (-94.20466540000005295 38.60724830000000196)	33	32	0.02502	125.48462
Point (-94.12133200000006639 38.48224820000000079)	107	106	0.02503	153.90717
Point (-94.41299890000001938 38.35724809999999962)	172	171	0.02504	181.78833
Point (-94.12133200000006639 38.52391490000000118)	83	82	0.02511	128.77881
Point (-94.24633210000004624 38.56558160000000157)	56	55	0.02513	161.94086
Point (-93.74633170000012683 38.23224799999999846)	260	259	0.0252	224.62048
Point (-93.62133160000014698 38.23224799999999846)	263	262	0.02526	228.52905
Point (-94.37133220000002609 38.56558160000000157)	53	52	0.0253	193.82666
Point (-94.16299870000005967 38.60724830000000196)	34	33	0.02532	109.77423
Point (-94.03799860000007982 38.48224820000000079)	109	108	0.02533	142.12378
Point (-93.99633190000008653 38.4405815000000004)	134	133	0.02534	153.20441
Point (-94.28799880000003952 38.56558160000000157)	55	54	0.02535	188.10083
Point (-93.87133180000010668 38.35724809999999962)	185	184	0.02552	155.90558
Point (-93.70466500000013355 38.23224799999999846)	261	260	0.02553	228.32782
Point (-94.24633210000004624 38.60724830000000196)	32	31	0.02553	151.18365
Point (-93.8296651000001134 38.31558139999999923)	210	209	0.0256	169.15863
Point (-94.32966550000003281 38.56558160000000157)	54	53	0.02567	196.66681
Point (-93.91299850000009997 38.39891480000000001)	160	159	0.0257	169.86523
Point (-93.66299830000014026 38.23224799999999846)	262	261	0.02576	229.50177
Point (-94.37133220000002609 38.19058129999999807)	269	268	0.02579	184.93243
Point (-93.95466520000009325 38.4405815000000004)	135	134	0.02583	161.54761
Point (-94.12133200000006639 38.64891500000000235)	11	10	0.02583	87.5282
Point (-94.20466540000005295 38.64891500000000235)	9	8	0.02584	105.53601
Point (-94.12133200000006639 38.60724830000000196)	35	34	0.02591	96.42841
Point (-94.32966550000003281 38.35724809999999962)	174	173	0.02593	203.68878
Point (-93.78799840000012011 38.27391469999999885)	235	234	0.026	193.49506
Point (-94.16299870000005967 38.64891500000000235)	10	9	0.02603	100.87219
Point (-94.0796653000000731 38.64891500000000235)	12	11	0.02603	96.63
Point (-94.37133220000002609 38.35724809999999962)	173	172	0.02605	191.16162
Point (-94.32966550000003281 38.19058129999999807)	270	269	0.02608	201.164
Point (-93.62133160000014698 38.27391469999999885)	239	238	0.02615	224.87524
Point (-93.91299850000009997 38.4405815000000004)	136	135	0.02621	170.03162
Point (-94.24633210000004624 38.64891500000000235)	8	7	0.0263	120.51703
Point (-94.12133200000006639 38.56558160000000157)	59	58	0.02634	113.16742
Point (-94.0796653000000731 38.60724830000000196)	36	35	0.02635	103.60406
Point (-93.99633190000008653 38.48224820000000079)	110	109	0.02641	140.1662
Point (-94.0796653000000731 38.52391490000000118)	84	83	0.02644	141.44366
Point (-94.28799880000003952 38.31558139999999923)	199	198	0.02646	235.48407
Point (-93.95466520000009325 38.48224820000000079)	111	110	0.02649	146.24731
Point (-93.8296651000001134 38.35724809999999962)	186	185	0.0265	159.92822
Point (-93.87133180000010668 38.39891480000000001)	161	160	0.0265	160.00916
Point (-93.74633170000012683 38.27391469999999885)	236	235	0.02651	205.69916
Point (-94.03799860000007982 38.52391490000000118)	85	84	0.02658	138.18622
Point (-94.28799880000003952 38.60724830000000196)	31	30	0.02663	172.95679
Point (-94.03799860000007982 38.64891500000000235)	13	12	0.02663	129.565
Point (-94.28799880000003952 38.23224799999999846)	247	246	0.02684	202.26721
Point (-93.87133180000010668 38.4405815000000004)	137	136	0.02691	170.60034
Point (-94.03799860000007982 38.60724830000000196)	37	36	0.02693	130.44006
Point (-93.78799840000012011 38.31558139999999923)	211	210	0.02698	176.52411
Point (-94.0796653000000731 38.56558160000000157)	60	59	0.02702	126.16901
Point (-93.66299830000014026 38.27391469999999885)	238	237	0.02706	219.73578
Point (-93.99633190000008653 38.64891500000000235)	14	13	0.02707	163.56451
Point (-93.91299850000009997 38.48224820000000079)	112	111	0.02711	160.00458
Point (-94.41299890000001938 38.31558139999999923)	196	195	0.02714	186.99017
Point (-93.70466500000013355 38.27391469999999885)	237	236	0.02719	217.30145
Point (-93.8296651000001134 38.39891480000000001)	162	161	0.02722	162.24597
Point (-94.32966550000003281 38.60724830000000196)	30	29	0.02722	184.7016
Point (-94.37133220000002609 38.60724830000000196)	29	28	0.02728	188.2652
Point (-93.62133160000014698 38.31558139999999923)	215	214	0.02729	230.10498
Point (-94.03799860000007982 38.56558160000000157)	61	60	0.0273	137.66644
Point (-93.99633190000008653 38.52391490000000118)	86	85	0.02738	134.888
Point (-93.95466520000009325 38.52391490000000118)	87	86	0.02747	139.48438
Point (-93.99633190000008653 38.60724830000000196)	38	37	0.02751	161.31146
Point (-94.28799880000003952 38.64891500000000235)	7	6	0.02756	131.41858
Point (-93.87133180000010668 38.48224820000000079)	113	112	0.02765	167.22375
Point (-94.28799880000003952 38.27391469999999885)	223	222	0.0277	213.64844
Point (-93.91299850000009997 38.60724830000000196)	40	39	0.02773	173.7251
Point (-93.8296651000001134 38.4405815000000004)	138	137	0.02777	171.55762
Point (-93.95466520000009325 38.64891500000000235)	15	14	0.02786	186.01068
Point (-94.41299890000001938 38.23224799999999846)	244	243	0.02792	173.15997
Point (-93.70466500000013355 38.52391490000000118)	93	92	0.02804	224.13165
Point (-93.91299850000009997 38.64891500000000235)	16	15	0.02806	199.21021
Point (-93.99633190000008653 38.56558160000000157)	62	61	0.02811	146.18085
Point (-93.91299850000009997 38.52391490000000118)	88	87	0.02812	150.44763
Point (-93.74633170000012683 38.31558139999999923)	212	211	0.02815	192.13239
Point (-93.74633170000012683 38.56558160000000157)	68	67	0.02815	203.87799
Point (-93.91299850000009997 38.56558160000000157)	64	63	0.02817	148.72845
Point (-93.78799840000012011 38.35724809999999962)	187	186	0.02821	167.15619
Point (-93.8296651000001134 38.48224820000000079)	114	113	0.02824	171.09497
Point (-93.87133180000010668 38.52391490000000118)	89	88	0.02826	162.94562
Point (-93.78799840000012011 38.56558160000000157)	67	66	0.02826	186.30029
Point (-93.95466520000009325 38.56558160000000157)	63	62	0.02837	148.20306
Point (-93.62133160000014698 38.35724809999999962)	191	190	0.02843	224.64819
Point (-93.66299830000014026 38.48224820000000079)	118	117	0.02844	235.58258
Point (-93.74633170000012683 38.52391490000000118)	92	91	0.02845	205.44269
Point (-93.95466520000009325 38.60724830000000196)	39	38	0.02848	171.79224
Point (-93.66299830000014026 38.31558139999999923)	214	213	0.02859	219.36359
Point (-93.78799840000012011 38.39891480000000001)	163	162	0.02862	167.55865
Point (-93.87133180000010668 38.60724830000000196)	41	40	0.02862	172.79919
Point (-93.8296651000001134 38.56558160000000157)	66	65	0.02868	174.58899
Point (-94.32966550000003281 38.31558139999999923)	198	197	0.02871	219.44684
Point (-93.8296651000001134 38.52391490000000118)	90	89	0.02871	175.23865
Point (-93.87133180000010668 38.56558160000000157)	65	64	0.02872	157.53058
Point (-93.78799840000012011 38.4405815000000004)	139	138	0.02875	183.11731
Point (-93.78799840000012011 38.52391490000000118)	91	90	0.02876	186.19128
Point (-94.41299890000001938 38.27391469999999885)	220	219	0.02882	179.38611
Point (-93.78799840000012011 38.60724830000000196)	43	42	0.02882	187.26062
Point (-93.78799840000012011 38.48224820000000079)	115	114	0.02884	181.49835
Point (-93.70466500000013355 38.31558139999999923)	213	212	0.0289	208.72076
Point (-93.8296651000001134 38.60724830000000196)	42	41	0.02894	174.86499
Point (-93.87133180000010668 38.64891500000000235)	17	16	0.02904	195.5036
Point (-93.70466500000013355 38.48224820000000079)	117	116	0.02909	221.61859
Point (-94.37133220000002609 38.31558139999999923)	197	196	0.02913	202.61847
Point (-93.74633170000012683 38.48224820000000079)	116	115	0.02913	203.38757
Point (-93.62133160000014698 38.39891480000000001)	167	166	0.02929	235.52521
Point (-93.74633170000012683 38.4405815000000004)	140	139	0.03019	196.69019
Point (-94.32966550000003281 38.23224799999999846)	246	245	0.03019	191.08521
Point (-93.66299830000014026 38.4405815000000004)	142	141	0.03021	226.04523
Point (-94.37133220000002609 38.23224799999999846)	245	244	0.03051	181.07465
Point (-93.66299830000014026 38.35724809999999962)	190	189	0.03059	211.01221
Point (-93.74633170000012683 38.35724809999999962)	188	187	0.03072	173.65747
Point (-93.70466500000013355 38.4405815000000004)	141	140	0.03115	210.00415
Point (-94.32966550000003281 38.27391469999999885)	222	221	0.03139	200.68909
Point (-93.74633170000012683 38.39891480000000001)	164	163	0.03154	174.74823
Point (-93.66299830000014026 38.39891480000000001)	166	165	0.03166	211.72363
Point (-93.70466500000013355 38.35724809999999962)	189	188	0.03185	191.00281
Point (-94.37133220000002609 38.27391469999999885)	221	220	0.03216	191.55658
Point (-93.70466500000013355 38.39891480000000001)	165	164	0.03358	188.55322
