Catalog_number	Tissue_number	BC_genetic_cluster_assignment	CC_genetic_cluster_assignment	DecimalLongitude	DecimalLatitude	Sampling_period	Location_code	Included_in_tess3r	Sex	Wing	Tail	Weight	Comments_on_measurements	Specific_locality	County	State	Remarks	Gonads	Molt	Day	Month	Year	Macaulay_Library_catalog	Song_summary													
132068	32609	0.001666667	0.998333333	-94.1045	38.0452	MODERN	38	YES	female			11.8		"Schell-Osage Conservation Area, northwest section"	Vernon	Missouri	sang soft (quiet) Carolina song; carrying nesting material; in almost the exact same site as KU 132069; male was not collected	unshelled egg in oviduct; 2 large ova; brood batch present	no	5	Apr	2016															
132069	32610	0.002333333	0.997666667	-94.1045	38.0452	MODERN	38	YES	female			10.1		"Schell-Osage Conservation Area, northwest section"	Vernon	Missouri	"almost in the exact same site as KU 132068, who was in breeding condition; male was not collected"	"ovary mass 4.5 x 2.5 mm, ova < 1 mm"	no	5	Apr	2016															
132070	32598	0.002	0.998	-94.1033	38.0477	MODERN	39	YES	female			11		"Schell-Osage Conservation Area, northwest section"	Vernon	Missouri	"with male, who was not collected, but was audio recorded (audio ref #: MBR-MO-2016-044, original cuts 85 & 87)"	"lg. ovum 2 x 2 mm, oviduct 2 mm & slightly convoluted"	no	5	Apr	2016															
132071	32604	0.197333333	0.802666667	-94.1033	38.0441	MODERN	42	YES	male			11.2		"Schell-Osage Conservation Area, northwest section"	Vernon	Missouri		"testes 7.5 x 5 mm, seminal vesicles enlarged"	"outer rectrix on right side only, no molt elsewhere"	5	Apr	2016															
132072	32603	0.002	0.998	-94.1011	38.047	MODERN	40	YES	male			11		"Schell-Osage Conservation Area, northwest section"	Vernon	Missouri		"testes 9 x 5 mm, seminal vesciles enlarged"	no	5	Apr	2016	523587	PURECC													
132073	32593	0.982333333	0.017666667	-94.2187	38.1737	MODERN	7	NO	male			12.3		"Pleasant Gap, west of"	Bates	Missouri		"testes 7 x 5 mm, seminal vesicles enlarged"	no	28	Apr	2016															
132074	32591	0.997666667	0.002333333	-94.1942	38.1713	MODERN	9	NO	male			12.2		"Pleasant Gap, west of"	Bates	Missouri	with KU 132075	"testes 8 x 6 mm, seminal vesicles enlarged"	no	28	Apr	2016	523629	PUREBC													
132075	32592	0.002666667	0.997333333	-94.1942	38.1713	MODERN	9	NO	female			11.9		"Pleasant Gap, west of"	Bates	Missouri	with KU 132074	"unshelled egg in oviduct, lg. ovum 8 x 8 mm"	no	28	Apr	2016															
132076	32608	0.627333333	0.372666667	-94.2007	38.1717	MODERN	8	NO	male			11		"Pleasant Gap, west of"	Bates	Missouri	with KU 132077	"testes 8 x 5 mm, seminal vesicles enlarged"	no	28	Apr	2016															
132077	32607	0.975666667	0.024333333	-94.2007	38.1717	MODERN	8	NO	female			11.9		"Pleasant Gap, west of"	Bates	Missouri	with KU 132076	"ovary mass 5 x 3 mm, ova < 1 mm, oviduct straight, developing brood patch"	no	28	Apr	2016															
132078	32595	0.532333333	0.467666667	-94.2072	38.1764	MODERN	5	NO	male			13.3		"Pleasant Gap, west of"	Bates	Missouri	with KU 132079	"testes 6.5 x 4.5 mm, seminal vesicles enlarged"	no	28	Apr	2016	523630	PUREBC													
132079	32596	0.995	0.005	-94.2072	38.1764	MODERN	5	NO	female			13.3		"Pleasant Gap, west of"	Bates	Missouri	with KU 132078	unshelled egg in oviduct	no	28	Apr	2016															
132080	32594	0.988333333	0.011666667	-94.2011	38.1827	MODERN	6	NO	male			12.3		"Pleasant Gap, west of"	Bates	Missouri		"testes 9 x 5.5 mm, seminal vesicles enlarged"		28	Apr	2016															
132081	32576	0.002	0.998	-94.154	38.0771	MODERN	16	NO	male			10.5		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri	with KU 132086 in riparian woodland strip	"testes 7.5 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523592														
132082	32577	0.005	0.995	-94.154	38.0771	MODERN	16	NO	male			11.8		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri		"testes 9 x 6 mm, seminal vesicles enlarged"	no	8	Apr	2016	523590	BOTH													
132083	32572	0.275666667	0.724333333	-94.154	38.0771	MODERN	16	NO	female			10.3		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri	with KU 132084	not found	"outer 2 trectrices on right side of tail, very light molt on neck"	8	Apr	2016															
132084	32573	0.998	0.002	-94.154	38.0771	MODERN	16	NO	male			14		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri	with KU 132083	"testes 8 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523589	BOTH													
132085	32566	0.002666667	0.997333333	-94.154	38.0771	MODERN	16	NO	male			10.3		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri		"testes 8.5 x 5.5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523591	BOTH													
132086	32575	0.002	0.998	-94.154	38.0771	MODERN	16	NO	female			11.1		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri	with KU 132081	oviduct 3 mm in diameter & convoluted; 1 collasped ovum; lg. ovum 3 x 3 mm		8	Apr	2016															
132087	32556	0.608666667	0.391333333	-94.0863	38.1168	MODERN	34	YES	male			12.1		"Rockville, 3.2 miles north"	Bates	Missouri		"testes 9 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523601	PURECC													
132088	32559	0.003	0.997	-94.0858	38.1178	MODERN	35	YES	male			11.6		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132089	"testes 8 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523603	PURECC													
132089	32560	0.001666667	0.998333333	-94.0858	38.1178	MODERN	35	YES	female			11.6		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132088	oviduct 2.5 mm in diameter & convoluted; 2 collasped ova; brood patch present	no	9	Apr	2016															
132090	32586	0.997	0.003	-94.0847	38.1161	MODERN	37	YES	female			12.3		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132091	"ovary mass 8 x 6 mm, lg. ovum 1.5 x 1.5 mm, oviduct not visible"	no	9	Apr	2016															
132091	32585	0.001666667	0.998333333	-94.0847	38.1161	MODERN	37	YES	male			11.3		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132090	"testes 8 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523602	BOTH													
132092	32553	0.001	0.999	-94.0878	38.1191	MODERN	22	YES	male			11.5		"Rockville, 3.2 miles north"	Bates	Missouri		"testes 8.5 x 5.5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523604	PUREBC													
132093	32568	0.988333333	0.011666667	-94.0872	38.1193	MODERN	23	YES	male			12.4		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132094	"testes 9 x 5.5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523600	PUREBC													
132094	32555	0.967666667	0.032333333	-94.0872	38.1193	MODERN	23	YES	female			12.3		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132093	oviduct 3.5 mm in diameter & convoluted; lg. ovum 1.5 x 1.5 mm; brood patch present	no	9	Apr	2016															
132095	32571	0.965	0.035	-94.1182	38.1198	MODERN	10	YES	male			12.8		"Rockville, 4 miles northwest"	Bates	Missouri		"testes 8.5 x 5.5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523597	BOTH													
132096	32574	0.538666667	0.461333333	-94.1163	38.1195	MODERN	13	YES	male			11.6		"Rockville, 4 miles northwest"	Bates	Missouri		"testes 8 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523598	BOTH													
132097	32589	0.001	0.999	-94.1163	38.1195	MODERN	13	YES	male			10.7		"Rockville, 4 miles northwest"	Bates	Missouri	with KU 132098	"testes 8 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016															
132098	32590	0.247	0.753	-94.1163	38.1195	MODERN	13	YES	female			10.6		"Rockville, 4 miles northwest"	Bates	Missouri	with KU 132097	"ovary minute, oviduct straight"	no	9	Apr	2016															
132099	32584	0.022	0.978	-94.1198	38.0525	MODERN	31	YES	male	64	59	11.7		"Rockville, 2.3 miles west"	Bates	Missouri	"with female, who was carrying nesting material; she gave muted Carolina song after male was collected; she was not collected"	"testes 7.5 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523595	PURECC													
132100	32587	0.635	0.365	-94.1213	38.0639	MODERN	19	YES	male	62.5	57.7	12.3		"Rockville, 2.3 miles west"	Bates	Missouri	with KU 132101	"testes 7 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016															
132101	32588	0.008666667	0.991333333	-94.1213	38.0639	MODERN	19	YES	female	60.1	54.6	11.4	worn	"Rockville, 2.3 miles west"	Bates	Missouri	with KU 132100	3 collapsed ova; brood patch present; oviduct 4 mm in diameter & convoluted	no	8	Apr	2016															
132102	32567	0.589666667	0.410333333	-94.1211	38.0641	MODERN	20	YES	male	66.5	64.8	13.6		"Rockville, 2.3 miles west"	Bates	Missouri	"initially audio recorder on 5 April, recorded again and collected on 8 April"	"testes 8 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016	"523588, 523594"	PURECC_ABERRANT													
132103	32578	0.454333333	0.545666667	-94.1848	38.0774	MODERN	14	NO	male			12.4		"Rockville, 5.8 miles west (west of Prairie City)"	Bates	Missouri	with KU 132104	"testes 7 x 3.5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523593	PUREBC													
132104	32579	0.008666667	0.991333333	-94.1848	38.0774	MODERN	14	NO	female			10.5		"Rockville, 5.8 miles west (west of Prairie City)"	Bates	Missouri	with KU 132104	ovary undeveloped	no	8	Apr	2016															
132105	32542	0.56	0.44	-94.1857	38.0781	MODERN	11	NO	female			12.8		"Rockville, 5.8 miles west (west of Prairie City)"	Bates	Missouri	with KU 132106	egg in oviduct; oviduct 6 mm in diameter & convoluted; 1 collapsed follicle; lg. ovum 6 x 6 mm	no	12	Apr	2016															
132106	32541	0.005666667	0.994333333	-94.1857	38.0781	MODERN	11	NO	male			11.4		"Rockville, 5.8 miles west (west of Prairie City)"	Bates	Missouri	with KU 132105	"testes 10 x 5 mm, seminal vesicles enlarged"	no	12	Apr	2016	523613	PUREBC													
132107	32580	0.723666667	0.276333333	-94.0548	38.0655	MODERN	41	YES	male			12.4		"Rockville, 1.5 miles southeast"	St. Clair	Missouri	"with female (not collected); male responded to Carolina song playback by giving Carolina song (not recorded, too windy)"	"testes 8 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016															
132108	32570	0.002	0.998	-94.0528	38.0674	MODERN	43	YES	female			12.4		"Rockville, 1.5 miles southeast"	St. Clair	Missouri	with KU 132109; male gave Carolina song in response to Carolina song playback	brood patch; oviduct 4 mm in diameter and convoluted; collapsed ovum	no	8	Apr	2016															
132109	32569	0.002666667	0.997333333	-94.0528	38.0674	MODERN	43	YES	male			11.4		"Rockville, 1.5 miles southeast"	St. Clair	Missouri	"with KU 132108; male sang Carolina song in response to Carolina playback (not recorded, too windy)"	"testes 7 x 4.5 mm, seminal vesicles enlarged"	no	8	Apr	2016															
132110	32558	0.002666667	0.997333333	-94.0537	38.0636	MODERN	45	YES	male			11.5		"Rockville, 1.5 miles southeast"	St. Clair	Missouri	with KU 132111	"testes 8.5 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523596	PURECC													
132111	32557	0.022	0.978	-94.0537	38.0636	MODERN	45	YES	female			10.1		"Rockville, 1.5 miles southeast"	St. Clair	Missouri	with KU 132110	oviduct 3.5 mm in diameter & convoluted; lg. ovum 2 x 2 mm	no	8	Apr	2016															
132112	32581	0.005	0.995	-94.0118	38.1753	MODERN	30	YES	male			10.7		"Appleton City, 1.7 miles southeast"	St. Clair	Missouri	"with female, neither sang; in reclaimed min with scrubby woods that had dense understory of Japanese honeysuckle"	"testes 7 x 4 mm, seminal vesicles enlarged"	no	9	Apr	2016															
132113	32536	0.024	0.976	-94.0046	38.1759	MODERN	24	YES	male	65.1	58.8	11.4		"Appleton City, 1.7 miles southeast"	St. Clair	Missouri	Heard singing both Carolina & Black-capped songs; counter singing with 2 other males ((KU 132114-5) in reclaimed min with scrubby woods that had dense understory of Japanese honeysuckle	"testes 8 x 5 mm, seminal vesicles enlarged"	no	12	Apr	2016	523610	PUREBC													
132114	32534	0.569666667	0.430333333	-94.0046	38.1749	MODERN	33	YES	male			10.7		"Appleton City, 1.7 miles southeast"	St. Clair	Missouri	counter singing with 2 other males ((KU 132113 & 132115) in reclaimed min with scrubby woods that had dense understory of Japanese honeysuckle	"testes 7 x 4 mm, seminal vesciles enlarged"	no	12	Apr	2016	523609	PUREBC													
132115	32543	0.181333333	0.818666667	-94.0046	38.1749	MODERN	33	YES	male			12.6		"Appleton City, 1.7 miles southeast"	St. Clair	Missouri	counter singing with 2 other males (KU 132113-4) in reclaimed min with scrubby woods that had dense understory of Japanese honeysuckle	testes 4 x 3 mm	no	12	Apr	2016	523608	PUREBC													
132116	32537	0.206333333	0.793666667	-93.992	38.1745	MODERN	36	YES	male			12		"Appleton City, 2.2 miles southeast"	St. Clair	Missouri	with mate in reclaimed mine	"testes 9 x 5 mm, seminal vesicles enlarged"	no	12	Apr	2016															
132117	32583	0.041666667	0.958333333	-94.0251	38.1735	MODERN	32	YES	female			11.2		Appleton City Cemetery	St. Clair	Missouri	with KU 132118	2 collapsed ova; oviduct 2 mm in diameter & convoluted; brood patch present	no	9	Apr	2016															
132118	32582	0.620333333	0.379666667	-94.0251	38.1735	MODERN	32	YES	male			12.6		Appleton City Cemetery	St. Clair	Missouri	"with KU 132117 in scrubby woodland (reclaimed mine); sang only Black-capped song, but not recorded"	"testes 7 x 5.5 mm, seminal vesicles enlarged"	no	9	Apr	2016															
132119	32554	0.356	0.644	-94.0221	38.1748	MODERN	29	YES	male			11.5		Appleton City Cemetery	St. Clair	Missouri	"heard singing Black-capped song, but not recorded; in reclaimed mine scrubby woodland"	"testes 8 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016															
132120	32545	0.001666667	0.998333333	-94.0207	38.1757	MODERN	21	YES	female			12.7		"Appleton City Cemetery, adjacent to east side"	St. Clair	Missouri	with KU 132121 in reclaimed mine scrubby woodland	"unshelled egg in oviduct, oviduct 6 mm in diameter & convoluted; 2 collapsed ova"	no	12	Apr	2016															
132121	32546	0.049666667	0.950333333	-94.0207	38.1757	MODERN	21	YES	male	62.9	55.5	10.7		"Appleton City Cemetery, adjacent to east side"	St. Clair	Missouri	with KU 132120 in reclaimed mine scrubby woodland	"testes 8.5 x 5 mm, seminal vesicles enlarged"	no	12	Apr	2016	523612	PUREBC													
132122	32538	0.787333333	0.212666667	-94.3459	37.9701	MODERN	25	NO	male	67.8	62.7	12		"Four Rivers Conservation Area, Unit 1, Prairie tract"	Vernon	Missouri	"recorded over different days; sang both Black-capped & Carolina songs, as did other individuals at this site"	"testes 8 x 5 mm, seminal vesicles enlarged"	no	13	Apr	2016	"518372, 523625"	PUREBC_ABERRANT													
132123	32551	0.333666667	0.666333333	-94.2394	38.0344	MODERN	15	NO	male	64.5	64.2	13.2		"Four Rivers Conservation Area, east side of Unit 2, pool 12"	Vernon	Missouri	with KU 132124	"testes 9 x 5 mm, seminal vesicles enlarged"	no	12	Apr	2016	523616	PUREBC													
132124	32552	0.295333333	0.704666667	-94.2394	38.0344	MODERN	15	NO	female	59.6	54	12.2	worn	"Four Rivers Conservation Area, east side of Unit 2, pool 12"	Vernon	Missouri	with KU 132123	oviduct 4.5 mm in diameter & convoluted; 1 collapsed ovum	no	12	Apr	2016															
132125	32548	0.622666667	0.377333333	-94.2208	38.0161	MODERN	27	NO	male	65.2	59.7	12.3		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	with KU 132126	"testes 8 x 5.5 mm, seminal vesicles enlarged"	no	13	Apr	2016	523626	PUREBC_ABERRANT													
132126	32547	0.669	0.331	-94.2208	38.0161	MODERN	27	NO	female	65.4	63.1	13.7		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	with KU 132125	"unshelled egg in oviduct, oviduct 5 mm in diameter & convoluted; brood patch present"	no	13	Apr	2016															
132127	32549	0.346666667	0.653333333	-94.2206	38.0181	MODERN	28	NO	male	65.9	60.7	12.5		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	with KU 132128	"testes 8 x 5.5. mm, seminal vesicles enlarged"	no	13	Apr	2016	523627	PURECC													
132128	32550	0.998	0.002	-94.2206	38.0181	MODERN	28	NO	female	61.1	58.6	12.7		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	with KU 132127	"ovary mass 5 x 4 mm, lg. ovum 2 x 2 mm"	no	13	Apr	2016															
132129	32540	0.364	0.636	-94.2216	38.0207	MODERN	18	NO	female	61.1	56.1	11.6		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	"with mate, not collected"	2 collapsed ova; oviduct 5 mm in diameter & convoluted; lg. ovum 6 x 6 mm		13	Apr	2016															
132130	32535	0.602	0.398	-94.2243	38.0236	MODERN	17	NO	unknown	63.1	59.4	10.8		"Four Rivers Conservation Area, east side of Unit 4"	Vernon	Missouri	"note: if this is not a female, then the mate of this individual was audio recorded (see above)"	not found	no	13	Apr	2016	523628	PUREBC													
132131	32597	0.847666667	0.152333333	-94.3209	38	MODERN	26	NO	male	65	61.6	12.8		"Four Rivers Conservation Area, south end of Unit 1"	Vernon	Missouri	with female (not collected); male sang Black-capped in response to playback	"testes 9 x 5 mm, seminal vesicles enlarged"	no	13	Apr	2016	523632	PUREBC													
132132	32539	0.587	0.413	-94.2539	38.0449	MODERN	12	NO	male	64.8	58.2	11.6		"Four Rivers Conservation Area, east side of Unit 2"	Vernon	Missouri		testes 6 x 4 mm	no	13	Apr	2016															
90612	3474	0.998	0.002	-95.259	38.954	REFERENCE_BC			male					Lawrence	Douglas	Kansas				2	Feb	2000															
95776	6281	0.994666667	0.005333333	-95.388	39.226	REFERENCE_BC			female					KU NESA Succession Plots	Jefferson	Kansas				10	Mar	2003															
131638	29898	0.977	0.023	-95.206	39.032	REFERENCE_BC			female					3 miles north of Lawrence	Douglas	Kansas				9	Feb	2016															
92269	7420	0.001	0.999	-93.327	36.601	REFERENCE_CC			male					"northern tip of highway JJ, Table Rock Lake"	Stone	Missouri				21	Nov	2001															
92270	7421	0.002	0.998	-93.327	36.601	REFERENCE_CC			male					"northern tip of highway JJ, Table Rock Lake"	Stone	Missouri				21	Nov	2001															
99703	649325	0.997333333	0.002666667	-94.497	38.31	SMITHSONIAN	1	NO	male	67.2	64.6			"Miami Cr. Drainage, 3.0 mi N & 8.0 mi W Butler"	Bates	Missouri				1	Apr	1980															
99704	649329	0.997666667	0.002333333	-94.497	38.31	SMITHSONIAN	1	NO	female	63.3	60.4			"Miami Cr. Drainage, 3.0 mi N & 8.0 mi W Butler"	Bates	Missouri				1	Apr	1980															
99705	649330	0.996333333	0.003666667	-94.497	38.31	SMITHSONIAN	1	NO	male	67.6	64.8			"Miami Cr. Drainage, 3.0 mi N & 8.0 mi W Butler"	Bates	Missouri				1	Apr	1980	210187														
99706	649331	0.998666667	0.001333333	-94.497	38.31	SMITHSONIAN	1	NO	female	61.4	62.5			"Miami Cr. Drainage, 3.0 mi N & 8.0 mi W Butler"	Bates	Missouri				1	Apr	1980															
99712	649326	0.998333333	0.001666667	-94.444	38.295	SMITHSONIAN	2	NO	female	63.1	61			"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980															
99713	649327	0.994	0.006	-94.444	38.295	SMITHSONIAN	2	NO	female	63.8	63.8			"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980															
99714	649328	0.997333333	0.002666667	-94.444	38.295	SMITHSONIAN	2	NO	male	65.7	65.3			"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980	210189														
99715	649332	0.998	0.002	-94.444	38.295	SMITHSONIAN	2	NO	male	64.7	62.1			"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980															
99716	649333	0.998	0.002	-94.444	38.295	SMITHSONIAN	2	NO	female	62.6	damaged			"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980															
99717	649334	0.998333333	0.001666667	-94.444	38.295	SMITHSONIAN	2	NO	male	67.2	molt			"Miami Cr. Drainage, 3.0 mi N & 5.0 mi W Butler"	Bates	Missouri				1	Apr	1980	210190														
99718	649353	0.994333333	0.005666667	-94.128	38.134	SMITHSONIAN	3	YES	male	70	67.9			5.0 mi N & 2.5 mi W Rockville	Bates	Missouri				4	Apr	1980	210627														
