wkt_geom	fid	id	T_78to14	P_78to14
Point (-75.40499958000005165 40.21666625000005268)	1027	1026	0.01927	5.35938
Point (-75.07166622000006839 39.88333289000006943)	1355	1354	0.01934	-15.8446
Point (-74.98833288000007258 39.84166622000007152)	1397	1396	0.01938	-6.04883
Point (-76.2799996500000077 40.04999957000006106)	1166	1165	0.01939	47.46106
Point (-75.23833290000006002 40.50833294000003804)	751	750	0.01949	-35.57654
Point (-75.77999961000003282 39.67499954000007989)	1538	1537	0.01957	113.50745
Point (-75.98833296000002235 39.7166662100000778)	1493	1492	0.01968	70.32642
Point (-74.94666621000007467 40.04999957000006106)	1198	1197	0.01972	-49.41833
Point (-75.19666623000006211 40.50833294000003804)	752	751	0.01973	-26.57495
Point (-75.48833292000004747 40.46666627000004013)	785	784	0.01975	-12.52124
Point (-75.98833296000002235 39.7583328800000757)	1453	1452	0.01978	52.70203
Point (-75.19666623000006211 40.34166626000004641)	912	911	0.01988	-52.32385
Point (-75.15499956000006421 40.38333293000004431)	873	872	0.01992	-33.45483
Point (-75.40499958000005165 40.50833294000003804)	747	746	0.01993	-3.33997
Point (-75.15499956000006421 40.42499960000004222)	833	832	0.01997	-31.2793
Point (-75.36333291000005374 40.50833294000003804)	748	747	0.02001	-20.30603
Point (-75.57166626000004328 40.42499960000004222)	823	822	0.02003	-29.45911
Point (-75.32166624000005584 40.50833294000003804)	749	748	0.02004	-37.55701
Point (-75.40499958000005165 39.79999955000007361)	1427	1426	0.02006	80.21326
Point (-75.27999957000005793 40.50833294000003804)	750	749	0.02008	-41.93005
Point (-74.90499954000007676 40.21666625000005268)	1039	1038	0.02019	-32.69507
Point (-75.57166626000004328 40.09166624000005896)	1143	1142	0.02023	-45.68835
Point (-74.98833288000007258 39.88333289000006943)	1357	1356	0.02024	-27.73181
Point (-74.90499954000007676 39.96666623000006524)	1279	1278	0.02024	-27.88147
Point (-76.11333297000001608 39.84166622000007152)	1370	1369	0.02028	18.78943
Point (-75.57166626000004328 40.25833292000005059)	983	982	0.02033	-59.81128
Point (-75.94666629000002445 39.7166662100000778)	1494	1493	0.02033	76.36377
Point (-75.61333293000004119 40.38333293000004431)	862	861	0.02034	-53.60413
Point (-75.82166628000003072 39.67499954000007989)	1537	1536	0.02037	108.13367
Point (-75.07166622000006839 40.00833290000006315)	1235	1234	0.02038	-33.72461
Point (-74.98833288000007258 39.79999955000007361)	1437	1436	0.02039	-20.1958
Point (-75.1133328900000663 39.84166622000007152)	1394	1393	0.02042	17.16418
Point (-74.94666621000007467 40.00833290000006315)	1238	1237	0.02044	-33.48376
Point (-76.07166630000001817 39.84166622000007152)	1371	1370	0.02045	22.79736
Point (-75.86333295000002863 39.67499954000007989)	1536	1535	0.0205	91.6803
Point (-75.44666625000004956 39.79999955000007361)	1426	1425	0.02056	53.48462
Point (-74.90499954000007676 39.92499956000006733)	1319	1318	0.02056	-46.19617
Point (-75.94666629000002445 39.7583328800000757)	1454	1453	0.02057	56.38147
Point (-75.02999955000007049 40.17499958000005478)	1076	1075	0.02057	-70.58887
Point (-75.15499956000006421 40.46666627000004013)	793	792	0.02058	-32.81165
Point (-75.98833296000002235 39.79999955000007361)	1413	1412	0.02063	39.11279
Point (-75.86333295000002863 39.7166662100000778)	1496	1495	0.02063	76.84399
Point (-74.94666621000007467 40.21666625000005268)	1038	1037	0.02066	-45.6936
Point (-74.94666621000007467 39.88333289000006943)	1358	1357	0.02071	-34.64539
Point (-76.32166632000000561 40.09166624000005896)	1125	1124	0.02075	35.83398
Point (-76.36333299000000352 40.04999957000006106)	1164	1163	0.02077	37.64185
Point (-74.90499954000007676 39.88333289000006943)	1359	1358	0.02083	-32.61865
Point (-75.90499962000002654 39.67499954000007989)	1535	1534	0.02091	86.02844
Point (-75.02999955000007049 40.00833290000006315)	1236	1235	0.02091	-39.43518
Point (-75.90499962000002654 39.7166662100000778)	1495	1494	0.02092	78.41785
Point (-75.57166626000004328 40.13333291000005687)	1103	1102	0.02095	-53.646
Point (-74.98833288000007258 39.92499956000006733)	1317	1316	0.02097	-55.55261
Point (-75.23833290000006002 40.25833292000005059)	991	990	0.021	-46.83276
Point (-75.52999959000004537 40.21666625000005268)	1024	1023	0.021	-59.07031
Point (-74.94666621000007467 39.84166622000007152)	1398	1397	0.02102	-23.46094
Point (-75.52999959000004537 40.46666627000004013)	784	783	0.02105	-5.76111
Point (-74.94666621000007467 39.92499956000006733)	1318	1317	0.02105	-55.66626
Point (-75.48833292000004747 40.17499958000005478)	1065	1064	0.0211	-33.79199
Point (-75.82166628000003072 39.7166662100000778)	1497	1496	0.02113	69.45605
Point (-74.94666621000007467 39.96666623000006524)	1278	1277	0.02114	-42.27576
Point (-74.98833288000007258 39.96666623000006524)	1277	1276	0.02114	-30.06616
Point (-75.61333293000004119 40.25833292000005059)	982	981	0.02115	-57.35193
Point (-75.1133328900000663 40.38333293000004431)	874	873	0.02117	-32.3783
Point (-75.19666623000006211 40.2999995900000485)	952	951	0.02122	-54.28442
Point (-76.15499964000001398 39.84166622000007152)	1369	1368	0.02125	28.77197
Point (-74.98833288000007258 40.09166624000005896)	1157	1156	0.02131	-67.27063
Point (-75.90499962000002654 39.7583328800000757)	1455	1454	0.02133	52.73596
Point (-76.32166632000000561 40.00833290000006315)	1205	1204	0.02134	45.57483
Point (-75.36333291000005374 40.21666625000005268)	1028	1027	0.02137	-12.40552
Point (-74.98833288000007258 40.21666625000005268)	1037	1036	0.02138	-58.22546
Point (-75.1133328900000663 39.79999955000007361)	1434	1433	0.02139	2.20251
Point (-75.1133328900000663 40.42499960000004222)	834	833	0.02141	-32.828
Point (-75.65499960000003909 40.34166626000004641)	901	900	0.02142	-52.23853
Point (-75.61333293000004119 40.09166624000005896)	1142	1141	0.02142	-40.64417
Point (-74.98833288000007258 40.34166626000004641)	917	916	0.02143	-30.34937
Point (-75.02999955000007049 40.34166626000004641)	916	915	0.02144	-34.27258
Point (-75.57166626000004328 40.17499958000005478)	1063	1062	0.02144	-68.91943
Point (-76.19666631000001189 39.84166622000007152)	1368	1367	0.0215	51.32349
Point (-75.65499960000003909 40.2999995900000485)	941	940	0.02152	-49.37683
Point (-75.07166622000006839 40.38333293000004431)	875	874	0.02152	-35.47607
Point (-74.98833288000007258 40.00833290000006315)	1237	1236	0.02153	-38.77136
Point (-75.1133328900000663 39.96666623000006524)	1274	1273	0.02155	-8.93787
Point (-75.57166626000004328 40.21666625000005268)	1023	1022	0.02156	-64.13159
Point (-74.94666621000007467 39.79999955000007361)	1438	1437	0.02157	-20.00244
Point (-76.02999963000002026 39.84166622000007152)	1372	1371	0.02157	28.31799
Point (-75.52999959000004537 40.17499958000005478)	1064	1063	0.02161	-52.32922
Point (-75.52999959000004537 40.09166624000005896)	1144	1143	0.02161	-48.00977
Point (-75.52999959000004537 40.13333291000005687)	1104	1103	0.02163	-47.84399
Point (-75.86333295000002863 39.7583328800000757)	1456	1455	0.02169	50.54724
Point (-75.02999955000007049 40.13333291000005687)	1116	1115	0.02173	-70.63843
Point (-76.2799996500000077 40.00833290000006315)	1206	1205	0.02174	48.55054
Point (-75.73833294000003491 39.67499954000007989)	1539	1538	0.02176	117.31885
