UoA_Code	Species_subspecies	Common_Name	Collection_Date	Location	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB
Chem06NZ02	Cephalorhynchus hectori maui	Maui dolphin	13-Nov-06	"North of Surf Club, Sunset Beach, just to the south of the Waikato River mouth, Port Waikato"	-37.3905	174.70817	beachcast	Garry Hickman	Waikato/Hamilton	0.76	neonate/foetus (never breathed)	male		H125/06	410		WS06-22Chh			39485	M	G	24	no	no
Chem06NZ04	Cephalorhynchus hectori maui	Maui dolphin	4-Dec-06	"4 - 5 km north of Karioitahi Beach, Waiuku, South Auckland"	-37.28423	174.65421	beachcast	Karl McLeod	Auckland	1.56	adult	female		H127/06	412		WS06-26Ch 			39589	F	G	28	no	no
Chem06NZ05	Cephalorhynchus hectori maui	Maui dolphin	4-Dec-06	"4 - 5 km north of Karioitahi Beach, Waiuku, South Auckland"	-37.28423	174.65421	beachcast	Karl McLeod	Auckland	0.78	neonate/juvenile	female		H128/06	413		WS06-25Ch			39588	F	G	24	no	no
Chem07NZ01	Cephalorhynchus hectori maui	Maui dolphin	10-Nov-07	"480 metres east of Manu Bay boat ramp, Raglan"	-37.823	174.8193	beachcast	Garry Hickman	Waikato	1.58	adult-mature	female		H153-07	450					41043	F	G	28	no	no
Chem07NZ09	Cephalorhynchus hectori maui	Maui dolphin	9-Mar-07	"Ngarunui Beach, Raglan (few 100 metres north of surf club)"	-43.81447	174.8304	beachcast	Garry Hickman & Sietse Bouma	Waikato	1.52	adult	unknown - probably female (genitals scavenged)		H140/07	425		W07-12Ch 			39924	F	G	28	no	no
Chem10NZ06	Cephalorhynchus hectori maui	Maui dolphin	20-Nov-10	"Raglan, floating ~500m off Indicators Point"	-37.82130556	174.79175	beachcast (floating)	Gary Hickman & Dion Patterson	Waikato	1.22	subadult	male		H202/10	504		W10-07Chh 			45670	M	G	27	no	no
Chem13NZ01	Cephalorhynchus hectori maui	Maui dolphin	13-Sep-13	"Ripiro Beach, south of Glinks Gully, Dargaville"	N6558104	E2594545	beachcast	Anja Meduna	Dargaville	1.51	adult	female	not pregnant (evidence of previous pregnancies)	H243/13			W13-17Ch				F		21	no	no
CheMb03-01	Cephalorhynchus hectori hectori	Hector's dolphin	5-Dec-03	South Marlborough			beachcast														M	Ca	14	yes	yes
CheNI001	Cephalorhynchus hectori maui	Maui dolphin	26-Aug-93	"Southern end Karekare Beach, Nth Auckland (Manukau Heads)"	-36.9869	174.4701	beachcast	Jo Ritchie	Auckland (South Auckland)		adult	female	pregnant	N/A	187				CETOS 9373	9473 (9397?)	F	G	16	yes	yes
CheNI002	Cephalorhynchus hectori maui	Maui dolphin	16-May-95	"Taharoa Beach, South Auckland"	-38.1797	174.7057	beachcast		Waikato (South Auckland)					N/A	217						F	G	6	no	no
CheNI004	Cephalorhynchus hectori maui	Maui dolphin	27-Sep-88	"Tongaporutu River, Taranaki"	-38.8151	174.5837	"museum, beachcast"	Taranaki Museum	Wanganui (Taranaki)	1.39				N/A	128	A71-765					M	G	0	no	no
CheNI007	Cephalorhynchus hectori maui	Maui dolphin	26-Jan-79	"Waiiti Beach, Taranaki"			"museum, beachcast"	Taranaki Museum	Northland	1.595				N/A	37	A78-570					M	G	2	no	no
CheNI011	Cephalorhynchus hectori maui	Maui dolphin	1921				stuffed dolphin														F	G	0	no	no
CheNI012	Cephalorhynchus hectori maui	Maui dolphin	20-Nov-95	Muriwai			beachcast			0.82											F	G	16	yes	yes
CheNI016	Cephalorhynchus hectori maui	Maui dolphin	25-Nov-97	"Muriwai Beach, 12 miles mark, North Auckland"	-36.7217	174.3546	beachcast	Simon Mowbray	Auckland (North Auckland)		adult	female	pregnant	N/A	249		WS97.58Ch (WS97-58aChm)				F	G	17	yes	yes
CheNI017	Cephalorhynchus hectori maui	Maui dolphin	25-Nov-97	"Muriwai Beach, 12 miles mark, North Auckland"	-36.7217	174.3546	beachcast	Simon Mowbray	Auckland (North Auckland)		foetus			N/A			WS97.59Ch				F	G	13	yes	yes
CheNI020	Cephalorhynchus hectori maui	Maui dolphin	1-Jan-67	Waikanae (wrongly Oakura in Baker et al 2002)			"museum, beachcast"		Wellington					N/A	13			MONZ 1615				N	0	no	no
CheNI021 (KTUW2)	Cephalorhynchus hectori maui	Maui dolphin	1999	Manukau Habour			stomach content tissue	"Craig Thorburn, Kelly Tarlton's "								KTUW2					M	G	0	no	no
CheNI022	Cephalorhynchus hectori maui	Maui dolphin	20-Oct-98	Whatipu			beachcast				foetus					714/2					F	G	5	no	no
CheNI023	Cephalorhynchus hectori maui	Maui dolphin	1-Nov-98	"Karotahi Beach, Waiaku"			beachcast				calf										F	G	5	no	no
