UoA_Code	Species_subspecies	Common_Name	Collection_Date	Location	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB
Che04NZ13	Cephalorhynchus hectori hectori	Hector's dolphin	14-Nov-04	Orepuki-Southland. Halfway along the beach from Orepuki. Map D46; halfway between Dudley Street and Shilo 	5423500	2004600	beachcast							H86/04			WB04-22 Chh			36634	F	L	0	no	no
Che04NZ15	Cephalorhynchus hectori hectori	Hector's dolphin	9-Dec-04	"Tumbledown Bay, Southern Banks Peninsula "	N: 5705945 	E: 2491527	beachcast					M		H89/04			WB05-39 Chh			36779	M	Cb	0	no	no
Che04NZ16	Cephalorhynchus hectori hectori	Hector's dolphin	21-Dec-04	"Robinson Bay, Banks Peninsula "	N: 5716162	E: 2506778	beachcast							H91/04			WB05-12 Chh			36901	F	Ca	0	no	no
Che05NZ01	Cephalorhynchus hectori hectori	Hector's dolphin	19-Jan-05	Three mile beach Okarito NZMS 260 H35 Franz Josef	N: 5770295	E: 2276599	beachcast	Bryce Lummis	Hokitika	1.34	adult			H95/05			WS05-07 Chh			36863	F	Jb	0	no	no
Che05NZ02	Cephalorhynchus hectori hectori	Hector's dolphin	9-Feb-05	40km north of Westport on Nikau Beach			beachcast	Martin Abel and Scott Freeman	Buller	1.2				H98/05			WB05-14 Chh			36922	M	Jb	0	no	no
Che05NZ03	Cephalorhynchus hectori hectori	Hector's dolphin	18-Feb-05	Neils Beach south of Haast 260 E37 605813			beachcast	Robin Manera	South Westland	1.23				H99/05			WB05-15 Chh			36326	M	Jb	0	no	no
Che05NZ04	Cephalorhynchus hectori hectori	Hector's dolphin	2-Nov-05	"Neils Beach Jackson Bay, South Westland"			beachcast	Don Neale	South Westland	1.43				H102/05			WS05-36 Chh			38019	F	Hb	0	no	no
Che05NZ05	Cephalorhynchus hectori hectori	Hector's dolphin	2-Nov-05	"Neils Beach Jackson Bay, South Westland"			beachcast	Don Neale	South Westland	1.25				H103/05							M	Hc	0	no	no
Che05NZ06	Cephalorhynchus hectori hectori	Hector's dolphin	2-Nov-05	"Neils Beach Jackson Bay, South Westland"			beachcast	Don Neale	South Westland	1.2				H104/05			WS05-35 Chh			38018	M	Hb	0	no	no
Che05NZ07	Cephalorhynchus hectori hectori	Hector's dolphin	2-Nov-05	"Neils Beach Jackson Bay, South Westland"			beachcast	Don Neale	South Westland	1.45				H105/05			WS05-34 Chh			38017	F	Hb	0	no	no
Che05NZ09	Cephalorhynchus hectori hectori	Hector's dolphin	6-Dec-05	1km South of Waimea Creek between Arahura and Taramakau Rivers NZMS260 2351300 5839400			beachcast	"Paul van Klink, Ron van Mierlo"	Hokitika	1.41				H109/05			WS06-07Chh			38224	F	Jb	24	no	no
Che05NZ12	Cephalorhynchus hectori hectori	Hector's dolphin	22-Dec-05	"3N miles north of Potato Point, 1.5-2Nmiles east of seacliff "			beachcast	Les Douglas	Dunedin	1.21				H114/06							M	S	0	no	no
Che05NZ13	Cephalorhynchus hectori hectori	Hector's dolphin	5-Jan-05	"Westport, Carters Beach (K29 23895 59387)"			beachcast	Don Neale/Martin Abel (DoC Buller)	Hokitika/Buller	1.24				H92/05			WB05-09 Chh			36866	M	Jc	5	no	no
Che05NZ14	Cephalorhynchus hectori hectori	Hector's dolphin	15 Jan 2005 or 28 June 2005	"Hokitika, halfway between Ross & the Mikonui mussel bed (NZMS260 I33 58110 23295)"			beachcast	Martin Abel/Don Neale	Buller/Hokitika	0.72				H94/05			WB05-06 Chh			36815	M	R	0	no	no
Che05NZ15	Cephalorhynchus hectori hectori	Hector's dolphin	after 31Dec04 (recovered 5 Jan05)	Te Waewae bay just west of ÔMcCrackenÕs Rest towards Waiau River mouth 	N: 5429986	E: 2097342	beachcast							H93/05			WB05-01 Chh			36778	F	L	0	no	no
Che05NZ16	Cephalorhynchus hectori hectori	Hector's dolphin	4-Feb-05	North Side of Rangitata Huts 			beachcast/entangled							H96/05			WB05-10 Chh			36899	F	Cb1	0	no	no
Che05NZ17	Cephalorhynchus hectori hectori	Hector's dolphin	4-Feb-05	North Side of Rangitata Huts 			beachcast/entangled							H97/05			WB05-11 Chh			36900	F	Cb	0	no	no
Che05NZ18 (also Che05NZ08)	Cephalorhynchus hectori hectori	Hector's dolphin	23-Nov-05	Fossil Point base of Farewell Spit M24 777 87200			beachcast							H106/05			WB05-31 Chh			38008	M	Ca	0	no	no
Che05NZ19	Cephalorhynchus hectori hectori	Hector's dolphin	4-Dec-05	"Orepuki Beach, Te Waewae Bay"	54 22259	21 04166	beachcast							H107/05			WS05-33 Chh			38016	F	M	0	no	no
Che05NZ20	Cephalorhynchus hectori hectori	Hector's dolphin	2005	"neonate stranded on lower NI, Pekapeka Beach"			beachcast (live strand)							H108/05			WS05-32 Chh			38012	F	Ia	14	no	no
Che06NZ01	Cephalorhynchus hectori hectori	Hector's dolphin	21-Apr-06	North of Hokitika 23444 58320			beachcast	Don Neale	Hokitika												M	T	0	no	no
Che06NZ03	Cephalorhynchus hectori hectori	Hector's dolphin	10-Nov-06	Farewell Spit (NZMS260 M24 893 775)			beachcast	Mike Ogle & Clayton Ross	Golden Bay	0.69											F	T	12	no	no
Che06NZ06	Cephalorhynchus hectori hectori	Hector's dolphin	4-Sep-06	"Twin Beaches, Heaphy Track, Buller "			beachcast	E. Quinn	Golden Bay & Buller AO	1.305				H122/06			WS06-16 Ch			39380	M	Ia	12	no	no
Che06NZ07	Cephalorhynchus hectori hectori	Hector's dolphin	12-Oct-06	"Sewage ponds beach, Hokitika (23449 58326 NZMS260 J32)"			beachcast	Don Neale	Hokitika	1.43		F		H123/06			WS06-19Ch			39420	F	AA	13	no	no
Che06NZ08	Cephalorhynchus hectori hectori	Hector's dolphin	30-Nov-06	Te Waewae Bay	N2084340	E5436386	beachcast	Sally Chesterfiled & Fred Brock	Hurihiku	1.25											M	T	14	no	no
Che07NZ01	Cephalorhynchus hectori hectori	Hector's dolphin	18-Dec-06	"Timaru, Washdyke Lagoon Frontage (E2370649 N5647611)"			beachcast	S. Harraway	Raukapuka					H131/06							M	Cb	14	no	no
Che07NZ02 	Cephalorhynchus hectori hectori	Hector's dolphin	7-Jan-07	"Gillespies Beach, Franz Josef, South Westland"			beachcast	Myles Riki & Don Neale	Hokitika	1.43				H133/07							F	Jb	14	no	no
Che07NZ03	Cephalorhynchus hectori hectori	Hector's dolphin	6-Jan-07	"Te Wae Wae Bay, Port Craig, Kaiapoi"			beachcast	Sally Chesterfield & Ros Cole	Hurihiku	0.92				H132/07							F	M	14	no	no
Che07NZ04 	Cephalorhynchus hectori hectori	Hector's dolphin	18-Jan-07	Hokitika Beach			beachcast	Don Neale	Hokitika					H134/07							F	T	14	no	no
Che07NZ05	Cephalorhynchus hectori hectori	Hector's dolphin	20-Feb-07	"Cloudy Bay, Rarangi Beach, Blenheim"			beachcast	Mike Morrissey	Kaikoura	1.284				H136/07							M	Cb	14	no	no
Che07NZ06	Cephalorhynchus hectori hectori	Hector's dolphin	16-Feb-07	"Westport, 200m N of Mokihinau R mouth"			beachcast	Doug Cairns	Westport	1.24				H135/07							M	Jb	14	no	no
Che07NZ07	Cephalorhynchus hectori hectori	Hector's dolphin	7-Dec-07	Gore Bay			beachcast	Wayne Beggs & Dave Milard	Mahaanui	0.88				H130/06							M	Cb	14	no	no
Che07NZ08	Cephalorhynchus hectori hectori	Hector's dolphin	20-Mar-07	"South Ure R mouth, Marlborough"			beachcast	Jan Clayton-Greene	Marlborough					H142/07							M	Ca	14	no	no
Che07NZ10	Cephalorhynchus hectori hectori	Hector's dolphin	11-May-07	"Lake Grassmere, Marlborough"			beachcast	Claire Wooldridge Way & Malcolm Brennan	South Marlborough					H147/07							M	Ca	14	no	no
Che07NZ12	Cephalorhynchus hectori hectori	Hector's dolphin	22-Dec-07	"Takutai, South of Hokitika"			beachcast	Don Neale	Hokitika	0.72		M		H156/07									15	no	no
Che07NZ13	Cephalorhynchus hectori hectori	Hector's dolphin	25-Oct-07	"Beach south of Waitaha River, Franz Josef"			beachcast	Don Neale	Hokitika	-		-		H151/07							F	Jb	0	no	no
Che07NZ14	Cephalorhynchus hectori hectori	Hector's dolphin	14-Dec-07	"Long Beach, North of Heyward Point, Central Otago"			beachcast	Jim Fyfe	Coastal Otago	1.12		M?		H155/07							M	S	24	no	no
Che07NZ18	Cephalorhynchus hectori hector	Hector's dolphin	1-Feb-06	"South of Patiti Point, Timaru"	none recorded	none recorded	beachcast							H117/06			W07-08Ch			39830	M	Cb1	24	no	no
Che08NZ01	Cephalorhynchus hectori hectori	Hector's dolphin	8-Jan-08	Te Waewae Bay	N 5434829	E2089136	beachcast			0.54		F		H157/08							F	M	16	no	no
Che08NZ02	Cephalorhynchus hectori hectori	Hector's dolphin	3-Jul-08	Waimangaroa North	5944640	2405540	beachcast	-	Kawatiri Buller	-				H162/08								Hc	0	no	no
Che08NZ03	Cephalorhynchus hectori hectori	Hector's dolphin	2-Aug-08	Paroa Beach 200m N of school (near Greymouth)			beachcast	Henk Stengs	Greymouth	1.39				H163/08							F	Ib	17	no	no
Che08NZ04	Cephalorhynchus hectori hectori	Hector's dolphin	5-Sep-08	"Blaketown Beach, Greymouth"			beachcast	Henk Stengs	Greymouth					H165/08							F	Jb	4	no	no
Che08NZ05	Cephalorhynchus hectori hectori	Hector's dolphin	3-Oct-08	"Ross Beach, Hokitika"			beachcast	Ted Brennan	Hokitika	1.45		-		H167/08							F	Jb	17	no	no
Che08NZ06	Cephalorhynchus hectori hectori	Hector's dolphin	2008	"Flowery Creek, West Coast, South Island (N of Hokitika)"			beachcast	David Eastwood	Hokitika					H164/08							F	Hc	24	no	no
Che08NZ07	Cephalorhynchus hectori hectori	Hector's dolphin	2008	"Hector Beach, Hector, West Coast (N of Westport)"	N5956280	E2417148	beachcast	Daniel Sawyers & Chris Abel	Buller Kawatiri	1.41		M		H169/08							F	Jb	24	no	no
Che08NZ08	Cephalorhynchus hectori hectori	Hector's dolphin	15-Nov-08	"North End Hokitika, Westland"			beachcast	Dan Neale	Hokitika	0.67		M		H170/08							M	Jb	17	no	no
Che08NZ09	Cephalorhynchus hectori hectori	Hector's dolphin	5-Dec-08	"South Spit, Hokitika River Mouth"	5829348	2341857	beachcast	Dan Neale	Hokitika	0.8		M		H171/08							F	Hc	16	no	no
Che09NZ01	Cephalorhynchus hectori hectori	Hector's dolphin	5-Feb-09	"Punakaiki Beach, West Coast"			beachcast	Chippy Wood	Punakaiki/Paparoa	0.765		M		H177/09							M	Jb	24	no	no
Che09NZ02	Cephalorhynchus hectori hectori	Hector's dolphin	3-Aug-09	"1km E of Waikoau River, Te Waewae Bay, Southland"			beachcast	"Greg Funnell (TSO, Southland)"	Murihiku					H184/09							F	Jb	24	no	no
Che09NZ03	Cephalorhynchus hectori hector	Hector's dolphin	12-Dec-09	"Purakaunui Inlet, Dunedin"			beachcast	Steve Dawson	Coastal Otago	0.818	calf	F		H192/09			W09-21Ch					S	24	no	no
Che09NZ04	Cephalorhynchus hectori hector	Hector's dolphin	24-Dec-09	"Bold Head, Hokitika"			beachcast				juvenile			H193/09								Jb	15	no	no
Che09NZ05	Cephalorhynchus hectori hector	Hector's dolphin	11-Mar-09	200m south of South Brighton surf clubrooms			beachcast				TBC	TBC		H179/09						44853	M	Cb1	18	no	no
Che09NZ06	Cephalorhynchus hectori hector	Hector's dolphin	25-Mar-09	"Found in Timaru port near No 1 wharf beside Sang Wong Cool Stores by employee, and recovered"			beachcast				TBC	TBC		H181/09			W09-10Ch					Cb1	4	no	no
Che09NZ07	Cephalorhynchus hectori hector	Hector's dolphin	30-Aug-09	"Taylors Mistake, Christchurch"			beachcast				subadult	Male		H183/09			W09-12Ch				M	Ca	24	no	no
Che09NZ08	Cephalorhynchus hectori hector	Hector's dolphin	4-Sep-09	"Quail Island, Lyttleton"			beachcast				unknown	Unknown		H185/09							M	D	23	no	no
Che09NZ09	Cephalorhynchus hectori hector	Hector's dolphin	30-Oct-09	Rakaia River Mouth - 5 km north beside sea/lagoon barrier			beachcast				adult	female		H188/09			W09-15Ch				F	Cb2	24	no	no
Che09NZ10	Cephalorhynchus hectori hector	Hector's dolphin	6-Nov-09	"Otarawao Bay, Croisilles Harbour, western Marlborough Sounds, Tasman Bay"			beachcast				adult	male		H190/09			W09-19Ch			44230	M	Ha	24	no	no
Che10NZ01	Cephalorhynchus hectori hector	Hector's dolphin	28-Feb-10	Greymouth			beachcast							H196/10			W10-03Ch					Jb	16	no	no
Che10NZ02	Cephalorhynchus hectori hector	Hector's dolphin	25-Jan-10	"Pahia Point, Southland"			beachcast				calf			H194/10			W10-02Ch					M	13	no	no
Che10NZ03	Cephalorhynchus hectori hector	Hector's dolphin	27-Sep-10	"Ruatapu, West Coast"			beachcast	D. Neale	West Coast					H199/10							F	Cb1	24	no	no
Che10NZ04 (also Che10NZ10)	Cephalorhynchus hectori hector	Hector's dolphin	13-Oct-10	"Serpentine, WCSI (1/2 way between HK & GM)"			beachcast	D. Neale	West Coast		juvenile	F		H200/10							F	Ib	24	no	no
Che10NZ05	Cephalorhynchus hectori hector	Hector's dolphin	27-Oct-10	"Cobden Beach, Greymouth"	N53003	E14519	beachcast	D. Neale	West Coast					H201/10								Ha	0	no	no
Che10NZ07	Cephalorhynchus hectori hector	Hector's dolphin	12-May-2010	Timaru			Beachcast							H195/10			W10-01Ch				M	Cb1	23	no	no
Che10NZ08	Cephalorhynchus hectori hector	Hector's dolphin	16-Mar-2010	3km N of Kekerengu	N5351463	E1685058	Beachcast		Renwick		juvenile	M		H197/10						45290	M	Cb1	23	no	no
Che10NZ09	Cephalorhynchus hectori hector	Hector's dolphin	3-Oct-10	"Ashworth's Beach, north of Christchurch; (Beach between Ashley River Mouth and  Ash----- Lagoon? can't read incident report)"	N577186?	E2488070	Beachcast							H198/10						45494	F	Ca	24	no	no
Che10NZ10 (also Che10NZ04)	Cephalorhynchus hectori hector	Hector's dolphin	13-Oct-10	"Serpentine, WCSI (1/2 way between HK & GM)"			Beachcast							H200/10							F	Ib	24	no	no
Che10NZ11	Cephalorhynchus hectori hector	Hector's dolphin	8-Dec-10	"Waikuku Beach, Canterbury, Pegasus Bay"	N5206836	E1577360	Beachcast				neonate	M		H203/10						45752	M	Ca	23	no	no
Che11NZ01	Cephalorhynchus hectori hector	Hector's dolphin	24-Jan-11	"Kaka Point, Otago"			Beachcast				neonate	F		H204/11							F	Z	24	no	no
Che11NZ02	Cephalorhynchus hectori hector	Hector's dolphin	23-Jan-11	"Magnet Bay, Banks Peninsula"			Beachcast				juvenile	?		H205/11							M	Cb1	24	no	no
Che11NZ03	Cephalorhynchus hectori hector	Hector's dolphin	9-Mar-11	"Governors Bay, Lyttelton Harbour, Canterbury"			Beachcast				adult	F		H207/11						46037	F	W	24	no	no
Che11NZ04	Cephalorhynchus hectori hector	Hector's dolphin	17-Apr-11	"Sandy Beach, Governors Bay, Lyttelton Harbour, Canterbury"			Beachcast				neonate	M		H208/11						46194	M	P	24	no	no
Che11NZ05	Cephalorhynchus hectori hectori	Hector's dolphin	17-Oct-11	"Matau Branch, Clutha River mouth, Otago"			beachcast	Jim Fyfe	Otago	1.34	adult	F		H210/11							F	Z	23	no	no
Che11NZ06	Cephalorhynchus hectori hectori	Hector's dolphin	26-Oct-11	"Clark's Beach, Manukau Harbour"			beachcast							H211/11							F	Cb1	26	no	no
Che12NZ01	Cephalorhynchus hectori hectori	Hector's dolphin	7-Feb-12	Waimakariri River mouth			beachcast		Christchurch	1.27	adult	male		H213/12			W12-02Ch 			47147	M	Cb	26	no	no
Che12NZ02	Cephalorhynchus hectori hectori	Hector's dolphin	25-Apr-12	"Opunake, Taranaki"			beachcast							H221/12							M	Hb	22	no	no
Che98NZ01	Cephalorhynchus hectori hectori	Hector's dolphin	24-Jul-98	Hannahs Clearing ~Haast NZMS260 F37 774 880			beachcast	Megan Hieatl and Paul vanKilnk	Haast	1.36		M									M	Hc	0	no	no
CheBP01	Cephalorhynchus hectori hectori	Hector's dolphin	26-Nov-94	"Pegasus Bay, north of south New Brighton beach, Christchurch"			beachcast									Chch1					M	C	2	no	no
CheBP02 	Cephalorhynchus hectori hectori	Hector's dolphin	2-Dec-94	"Pegasus Bay, Sumner Christchurch"			beachcast									Chch2					F	C	16	yes	yes
CheBP03	Cephalorhynchus hectori hectori	Hector's dolphin	1-Dec-94	"Pegasus Bay, south New Brighton Beach, Christchutch"			beachcast									Chch3					M	D	20	yes	yes
CheBP04	Cephalorhynchus hectori hectori	Hector's dolphin	21-Apr-85	"Akaroa, middle of Le Bons Bay, 1nm offshore in net"			beachcast												CETOS 8506		F	A	0	no	no
CheBP05	Cephalorhynchus hectori hectori	Hector's dolphin	5-Dec-85	"Pegasus Bay, New Brighton Beach, close inshore"			beachcast												CETOS 8508		M	C	1	no	no
CheBP06	Cephalorhynchus hectori hectori	Hector's dolphin	16-Jan-88	"Akaroa, caught off Akaroa harbour, off Onawe peninsula"			beachcast												CETOS 8845		M	C	13	yes	yes
CheBP07	Cephalorhynchus hectori hectori	Hector's dolphin	3-Apr-88	Akaroa			beachcast												CETOS 8848		M	C	3	no	no
CheBP08	Cephalorhynchus hectori hectori	Hector's dolphin	11-Jan-89	"Pegasus Bay, Pines Beach, waimakarir River Mouth"			beachcast												CETOS 8958		F	C	3	no	no
CheBP09	Cephalorhynchus hectori hectori	Hector's dolphin	20-Dec-88	"Pegasus Bay, Lyttelton Harbour"			beachcast												CETOS 8959		M	E	0	no	no
CheBP10	Cephalorhynchus hectori hectori	Hector's dolphin	30-Jan-87	"Pegasus Bay, Sumner"			beachcast											MONZ 2011	CETOS 8730 		F	C	16	yes	yes
CheBP11	Cephalorhynchus hectori hectori	Hector's dolphin	2-Oct-87	"Pegasus Bay, 15-17nm NE Godley Head"			beachcast											MONZ 2008	CETOS 8736 		F	A	15	yes	yes
CheBP12	Cephalorhynchus hectori hectori	Hector's dolphin	4-Nov-87	"Pegasus Bay, New Brighton Beach"			beachcast											MONZ 2002	CETOS 8737		F	C	17	yes	yes
