param,mean,median,1.000_CI_LB,1.000_CI_UB
zeta-quantile_param_0,0.700733,0.709482,0.317630,0.931225
zeta-quantile_param_1,0.542390,0.587804,0.131608,0.864394
zeta-quantile_param_2,0.757150,0.809679,0.487396,0.949399
zeta-quantile_param_3,0.119444,0.102966,0.023598,0.262174
zeta-quantile_param_4,0.137079,0.100192,0.006752,0.345689
zeta-quantile_param_5,0.147960,0.146261,0.038101,0.271148
zeta-quantile_param_6,0.307649,0.311531,0.074289,0.547579
zeta-quantile_param_7,0.559408,0.626319,0.010180,0.903130
zeta-quantile_param_8,0.444612,0.472511,0.043758,0.924689
zeta-quantile_param_9,0.557512,0.584582,0.070067,0.895561
zeta-quantile_param_10,0.787719,0.817294,0.323881,0.999127
zeta-quantile_param_11,0.803763,0.843905,0.396555,0.978566
zeta-quantile_param_12,0.268139,0.169558,0.013508,0.965227
zeta-quantile_param_13,0.669927,0.762510,0.028531,0.994961
zeta-quantile_param_14,0.216854,0.213696,0.058171,0.423234
zeta-quantile_param_15,0.719741,0.751072,0.432432,0.925269
zeta-quantile_param_16,0.156808,0.077302,0.009002,0.731839
zeta-quantile_param_17,0.297279,0.190065,0.018124,0.860699
zeta-quantile_param_18,0.660441,0.651086,0.363380,0.906617
zeta-quantile_param_19,0.789157,0.813524,0.410464,0.978740
zeta-quantile_param_20,0.067750,0.067169,0.005266,0.186204
zeta-quantile_param_21,0.129234,0.105100,0.007693,0.520650
zeta-quantile_param_22,0.025869,0.020758,0.001308,0.135076
zeta-quantile_param_23,0.049951,0.043999,0.002852,0.205036
zeta-quantile_param_24,0.077089,0.067567,0.006474,0.262813
zeta-quantile_param_25,0.124803,0.121193,0.019910,0.253849
zeta-quantile_param_26,0.634667,0.750822,0.229202,0.933775
zeta-quantile_param_27,0.643565,0.761956,0.183918,0.980052
zeta-quantile_param_28,0.158329,0.129835,0.017076,0.481916
zeta-quantile_param_29,0.279080,0.261026,0.086949,0.574314
zeta-quantile_param_30,0.328591,0.288187,0.008641,0.827079
zeta-quantile_param_31,0.183466,0.170933,0.011691,0.523286
zeta-quantile_param_32,0.643686,0.651118,0.364238,0.893876
zeta-quantile_param_33,0.641022,0.636614,0.425879,0.859912
zeta-quantile_param_34,0.213465,0.165205,0.026949,0.654016
zeta-quantile_param_35,0.543295,0.532944,0.206547,0.889060
zeta-quantile_param_36,0.251497,0.178131,0.024884,0.795258
zeta-quantile_param_37,0.614417,0.629090,0.200773,0.994476
zeta-quantile_param_38,0.658848,0.665229,0.379581,0.955543
zeta-quantile_param_39,0.705794,0.730922,0.407503,0.916409
zeta-quantile_param_40,0.556574,0.562635,0.234937,0.808259
zeta-quantile_param_41,0.058257,0.050805,0.003274,0.212497
zeta-quantile_param_42,0.076710,0.036805,0.002694,0.421999
zeta-quantile_param_43,0.240910,0.192019,0.015995,0.652987
zeta-quantile_param_44,0.702512,0.715255,0.389551,0.966518
zeta-quantile_param_45,0.956007,0.962162,0.840889,0.994056
zeta-quantile_param_46,0.725274,0.731037,0.431555,0.938124
zeta-quantile_param_47,0.369199,0.342542,0.161685,0.672291
zeta-quantile_param_48,0.513705,0.496774,0.126783,0.946407
zeta-quantile_param_49,0.492789,0.481633,0.146112,0.821400
zeta-quantile_param_50,0.836126,0.896550,0.549824,0.983869
zeta-quantile_param_51,0.764124,0.735243,0.493430,0.972458
zeta-quantile_param_52,0.099095,0.064114,0.004728,0.325722
zeta-quantile_param_53,0.621782,0.591334,0.351486,0.863119
zeta-quantile_param_54,0.712965,0.726217,0.439031,0.874481
zeta-quantile_param_55,0.679154,0.676481,0.444045,0.846321
zeta-quantile_param_56,0.535719,0.526852,0.332761,0.788805
zeta-quantile_param_57,0.247882,0.207617,0.057604,0.606667
zeta-quantile_param_58,0.807405,0.834449,0.521337,0.983730
zeta-quantile_param_59,0.919079,0.942264,0.715808,0.998671
zeta-quantile_param_60,0.649459,0.619585,0.271290,0.960687
zeta-quantile_param_61,0.608626,0.614857,0.397654,0.815177
zeta-quantile_param_62,0.218461,0.214303,0.079599,0.375796
zeta-quantile_param_63,0.867622,0.927313,0.459552,0.980449
zeta-quantile_param_64,0.570071,0.558052,0.303198,0.901499
zeta-quantile_param_65,0.599020,0.606200,0.367174,0.812802
zeta-quantile_param_66,0.301710,0.289963,0.159076,0.491424
zeta-quantile_param_67,0.647305,0.631036,0.411322,0.893180
zeta-quantile_param_68,0.835330,0.959080,0.347074,0.998602
zeta-quantile_param_69,0.933592,0.933061,0.765488,0.996392
zeta-quantile_param_70,0.307954,0.291503,0.083934,0.709030
zeta-quantile_param_71,0.774505,0.842288,0.417547,0.980245
zeta-quantile_param_72,0.189543,0.180931,0.057617,0.348998
zeta-quantile_param_73,0.834241,0.864942,0.533136,0.968765
zeta-quantile_param_74,0.572312,0.574056,0.311458,0.833925
zeta-quantile_param_75,0.087723,0.072958,0.000569,0.412982
zeta-quantile_param_76,0.084457,0.078350,0.027390,0.250277
zeta-quantile_param_77,0.353796,0.271490,0.158366,0.694624
zeta-quantile_param_78,0.322849,0.283023,0.160410,0.676600
zeta-quantile_param_79,0.890533,0.890354,0.718745,0.983793
zeta-quantile_param_80,0.567739,0.570312,0.361513,0.801057
zeta-quantile_param_81,0.815865,0.845959,0.531912,0.959359
zeta-quantile_param_82,0.353085,0.185466,0.009409,0.951284
zeta-quantile_param_83,0.139193,0.105032,0.001998,0.495951
zeta-quantile_param_84,0.110806,0.098133,0.015380,0.299953
zeta-quantile_param_85,0.652007,0.691348,0.148696,0.923637
zeta-quantile_param_86,0.312304,0.252175,0.110526,0.606106
zeta-quantile_param_87,0.084312,0.056809,0.005088,0.278195
zeta-quantile_param_88,0.782630,0.775713,0.479327,0.995287
zeta-quantile_param_89,0.182781,0.184135,0.069176,0.291346
zeta-quantile_param_90,0.156037,0.163098,0.017191,0.408882
zeta-quantile_param_91,0.560534,0.548668,0.353205,0.759489
zeta-quantile_param_92,0.154038,0.156091,0.038212,0.257843
