param,mean,median,1.000_CI_LB,1.000_CI_UB
hi_param_0,0.923883,0.926010,0.888222,0.940301
hi_param_1,0.492304,0.493085,0.479650,0.505250
hi_param_2,0.196328,0.202254,0.150500,0.224273
hi_param_3,0.428214,0.432226,0.410846,0.446208
hi_param_4,0.091987,0.090230,0.064023,0.115612
hi_param_5,0.500339,0.498892,0.490158,0.509480
hi_param_6,0.209312,0.206985,0.189539,0.239947
hi_param_7,0.145815,0.146675,0.119779,0.184862
hi_param_8,0.477593,0.479349,0.464466,0.493581
hi_param_9,0.442020,0.441512,0.428426,0.453136
hi_param_10,0.828629,0.820412,0.796049,0.859920
hi_param_11,0.497522,0.497840,0.487980,0.515820
hi_param_12,0.511717,0.511357,0.491646,0.519805
hi_param_13,0.529778,0.528584,0.505936,0.548972
hi_param_14,0.428536,0.429948,0.415200,0.442925
hi_param_15,0.923873,0.924116,0.882777,0.954363
hi_param_16,0.503587,0.503333,0.491303,0.516897
hi_param_17,0.892132,0.890951,0.872242,0.911648
hi_param_18,0.857499,0.854637,0.835168,0.882000
hi_param_19,0.507079,0.506405,0.488926,0.525040
hi_param_20,0.531798,0.524875,0.501116,0.562666
hi_param_21,0.503958,0.502112,0.489981,0.518032
hi_param_22,0.503015,0.501075,0.490423,0.514589
hi_param_23,0.827008,0.827071,0.809033,0.841884
hi_param_24,0.751383,0.750191,0.703822,0.793614
hi_param_25,0.500441,0.501291,0.487903,0.510498
hi_param_26,0.068618,0.080902,0.022706,0.101555
hi_param_27,0.593486,0.587476,0.542609,0.631734
hi_param_28,0.514477,0.511716,0.493244,0.529524
hi_param_29,0.594784,0.599773,0.559506,0.612165
hi_param_30,0.517798,0.514423,0.494415,0.536978
hi_param_31,0.648984,0.641336,0.592433,0.696713
hi_param_32,0.405381,0.407480,0.384881,0.434341
hi_param_33,0.243342,0.239628,0.224001,0.292650
hi_param_34,0.510281,0.511317,0.492755,0.531246
hi_param_35,0.055205,0.065397,0.009271,0.092412
hi_param_36,0.519761,0.516820,0.495195,0.533612
hi_param_37,0.525728,0.520470,0.501701,0.544142
hi_param_38,0.515393,0.516898,0.496743,0.529534
hi_param_39,0.511473,0.514043,0.495537,0.531968
hi_param_40,0.156064,0.150472,0.111943,0.198597
hi_param_41,0.503841,0.504052,0.492289,0.516232
hi_param_42,0.179483,0.180803,0.146577,0.208822
hi_param_43,0.170967,0.168118,0.148091,0.199106
hi_param_44,0.509814,0.509643,0.488575,0.519731
hi_param_45,0.502198,0.502077,0.490478,0.525308
hi_param_46,0.436433,0.433849,0.423765,0.452044
hi_param_47,0.535994,0.524004,0.502173,0.570416
hi_param_48,0.511346,0.511108,0.494254,0.523898
hi_param_49,0.108813,0.111326,0.060709,0.147193
hi_param_50,0.562860,0.559454,0.545252,0.591899
hi_param_51,0.160451,0.163672,0.120525,0.191962
hi_param_52,0.499370,0.500299,0.489641,0.513500
hi_param_53,0.448977,0.451529,0.431043,0.456896
hi_param_54,0.136605,0.137105,0.098724,0.172735
hi_param_55,0.107505,0.109984,0.060671,0.133887
