param,mean,median,1.000_CI_LB,1.000_CI_UB
zeta-quantile_param_99,0.146492,0.107073,0.013329,0.376258
zeta-quantile_param_100,0.529287,0.532730,0.374421,0.685759
zeta-quantile_param_101,0.112835,0.104279,0.027811,0.303331
zeta-quantile_param_102,0.461058,0.446655,0.317137,0.734374
zeta-quantile_param_103,0.398560,0.422249,0.025983,0.757717
zeta-quantile_param_104,0.615296,0.617771,0.397008,0.799218
zeta-quantile_param_105,0.455142,0.443166,0.327569,0.734682
zeta-quantile_param_106,0.668593,0.666711,0.393092,0.856226
zeta-quantile_param_107,0.013776,0.011817,0.001374,0.054341
zeta-quantile_param_108,0.100804,0.098437,0.026549,0.216082
zeta-quantile_param_109,0.726681,0.734606,0.444410,0.968482
zeta-quantile_param_110,0.478934,0.511344,0.001826,0.889688
zeta-quantile_param_111,0.772566,0.771334,0.351180,0.988716
zeta-quantile_param_112,0.714365,0.703019,0.551795,0.894363
zeta-quantile_param_113,0.755497,0.768894,0.553103,0.894534
zeta-quantile_param_114,0.610156,0.562788,0.369539,0.913514
zeta-quantile_param_115,0.135285,0.098483,0.008049,0.316702
zeta-quantile_param_116,0.633089,0.639885,0.334084,0.934667
zeta-quantile_param_117,0.081233,0.063321,0.011975,0.221119
zeta-quantile_param_118,0.179323,0.172655,0.081466,0.353314
zeta-quantile_param_119,0.453498,0.461172,0.250312,0.564713
zeta-quantile_param_120,0.109391,0.096259,0.043496,0.263094
zeta-quantile_param_121,0.286701,0.275701,0.119790,0.518563
zeta-quantile_param_122,0.439553,0.434514,0.324570,0.601732
zeta-quantile_param_123,0.095337,0.093023,0.014872,0.246441
zeta-quantile_param_124,0.157339,0.157077,0.055944,0.272669
zeta-quantile_param_125,0.700996,0.703324,0.477732,0.869027
zeta-quantile_param_126,0.686238,0.699933,0.462311,0.860240
zeta-quantile_param_127,0.533771,0.529977,0.391172,0.732380
zeta-quantile_param_128,0.769578,0.762962,0.547222,0.963653
zeta-quantile_param_129,0.697090,0.731332,0.466918,0.835779
zeta-quantile_param_130,0.590267,0.579924,0.448410,0.783077
zeta-quantile_param_131,0.143463,0.143785,0.011914,0.270573
zeta-quantile_param_132,0.855331,0.880316,0.677517,0.948307
zeta-quantile_param_133,0.649156,0.627146,0.462271,0.876600
zeta-quantile_param_134,0.380037,0.376490,0.136870,0.670155
zeta-quantile_param_135,0.849664,0.868485,0.630934,0.952785
zeta-quantile_param_136,0.681315,0.664739,0.502922,0.896155
zeta-quantile_param_137,0.872918,0.903238,0.530925,0.971451
zeta-quantile_param_138,0.581611,0.569098,0.349495,0.909128
zeta-quantile_param_139,0.668442,0.671545,0.437428,0.863800
zeta-quantile_param_140,0.882294,0.902997,0.564993,0.996143
zeta-quantile_param_141,0.597883,0.573920,0.280300,0.940913
zeta-quantile_param_142,0.541819,0.555060,0.346800,0.766012
zeta-quantile_param_143,0.152259,0.146090,0.063167,0.285569
zeta-quantile_param_144,0.730032,0.757475,0.381692,0.892019
zeta-quantile_param_145,0.576447,0.567974,0.423766,0.771798
zeta-quantile_param_146,0.773541,0.790248,0.495163,0.951874
zeta-quantile_param_147,0.732943,0.746480,0.479953,0.921925
zeta-quantile_param_148,0.322399,0.290574,0.094840,0.625461
zeta-quantile_param_149,0.875285,0.913246,0.591009,0.982688
zeta-quantile_param_150,0.780179,0.819448,0.387872,0.991116
zeta-quantile_param_151,0.579793,0.577866,0.385145,0.830676
zeta-quantile_param_152,0.155913,0.148313,0.042138,0.331441
zeta-quantile_param_153,0.726947,0.725112,0.505838,0.891241
zeta-quantile_param_154,0.679111,0.669246,0.393655,0.882153
zeta-quantile_param_155,0.553808,0.550745,0.383293,0.772980
zeta-quantile_param_156,0.555587,0.540457,0.399642,0.763482
zeta-quantile_param_157,0.669482,0.664920,0.425476,0.889845
zeta-quantile_param_158,0.794094,0.821445,0.498744,0.930344
zeta-quantile_param_159,0.815955,0.818184,0.640705,0.946412
zeta-quantile_param_160,0.915526,0.944795,0.718364,0.994459
zeta-quantile_param_161,0.828959,0.811636,0.640491,0.974868
zeta-quantile_param_162,0.470158,0.453977,0.308809,0.722884
zeta-quantile_param_163,0.461938,0.455670,0.370537,0.617989
zeta-quantile_param_164,0.105982,0.100476,0.003486,0.263849
zeta-quantile_param_165,0.581313,0.561856,0.434717,0.797388
zeta-quantile_param_166,0.590137,0.544470,0.371852,0.862404
zeta-quantile_param_167,0.596222,0.590364,0.384769,0.822846
zeta-quantile_param_168,0.646271,0.642802,0.456945,0.850493
zeta-quantile_param_169,0.644078,0.632867,0.529576,0.784749
zeta-quantile_param_170,0.590568,0.573259,0.392528,0.914694
zeta-quantile_param_171,0.710977,0.716965,0.441907,0.903774
zeta-quantile_param_172,0.512276,0.522394,0.339129,0.699469
zeta-quantile_param_173,0.805411,0.839227,0.467544,0.979246
zeta-quantile_param_174,0.954848,0.985060,0.758884,0.999747
zeta-quantile_param_175,0.961602,0.981229,0.777737,0.999448
zeta-quantile_param_176,0.840205,0.837871,0.601554,0.969685
zeta-quantile_param_177,0.940887,0.930327,0.844289,0.999009
zeta-quantile_param_178,0.649071,0.663002,0.425513,0.807669
zeta-quantile_param_179,0.545348,0.544666,0.401896,0.681877
zeta-quantile_param_180,0.472205,0.470473,0.376849,0.612389
zeta-quantile_param_181,0.631336,0.658373,0.379442,0.899570
zeta-quantile_param_182,0.867185,0.882677,0.645414,0.993772
zeta-quantile_param_183,0.572145,0.561767,0.379224,0.848509
zeta-quantile_param_184,0.709291,0.685642,0.450798,0.966275
zeta-quantile_param_185,0.855719,0.867241,0.680740,0.960428
zeta-quantile_param_186,0.511569,0.517188,0.212030,0.944943
zeta-quantile_param_187,0.746028,0.771597,0.503835,0.888229
zeta-quantile_param_188,0.066673,0.057372,0.014219,0.211516
zeta-quantile_param_189,0.339957,0.324974,0.147961,0.594941
zeta-quantile_param_190,0.499391,0.503332,0.379706,0.588138
zeta-quantile_param_191,0.599046,0.587269,0.448753,0.744825
zeta-quantile_param_192,0.743568,0.763001,0.511220,0.884171
zeta-quantile_param_193,0.811132,0.803860,0.556511,0.972824
zeta-quantile_param_194,0.882173,0.974282,0.489531,0.999582
zeta-quantile_param_195,0.967285,0.979020,0.740245,0.999041
zeta-quantile_param_196,0.816722,0.806491,0.609438,0.961271
zeta-quantile_param_197,0.226581,0.188545,0.059791,0.501732
zeta-quantile_param_198,0.653132,0.659467,0.379593,0.894886
zeta-quantile_param_199,0.728099,0.760670,0.268875,0.998338
zeta-quantile_param_200,0.887983,0.987686,0.190890,0.999802
zeta-quantile_param_201,0.822287,0.856764,0.418561,0.991392
zeta-quantile_param_202,0.909429,0.946545,0.494948,0.999856
zeta-quantile_param_203,0.937410,0.976583,0.588764,0.999930
zeta-quantile_param_204,0.481270,0.565599,0.023731,0.926648
zeta-quantile_param_205,0.820142,0.842030,0.364177,0.986293
zeta-quantile_param_206,0.920712,0.951055,0.505326,0.998762
zeta-quantile_param_207,0.884464,0.893571,0.583854,0.997434
zeta-quantile_param_208,0.909320,0.918659,0.663526,0.998335
zeta-quantile_param_209,0.874545,0.889547,0.603876,0.993794
zeta-quantile_param_210,0.906757,0.922316,0.506354,0.999257
zeta-quantile_param_211,0.923918,0.952823,0.424523,0.998788
zeta-quantile_param_212,0.874814,0.902173,0.571901,0.997190
zeta-quantile_param_213,0.543055,0.539045,0.251152,0.802276
zeta-quantile_param_214,0.811367,0.819413,0.499589,0.981922
zeta-quantile_param_215,0.756031,0.795982,0.297511,0.986058
zeta-quantile_param_216,0.697344,0.690106,0.288469,0.977565
zeta-quantile_param_217,0.753119,0.741843,0.458157,0.966854
zeta-quantile_param_218,0.672015,0.674842,0.442522,0.847613
zeta-quantile_param_219,0.681646,0.657706,0.466783,0.878167
zeta-quantile_param_220,0.734777,0.754306,0.442032,0.874989
zeta-quantile_param_221,0.653348,0.669841,0.395384,0.815032
zeta-quantile_param_222,0.163961,0.152201,0.024695,0.394683
zeta-quantile_param_223,0.804840,0.822769,0.578808,0.942531
zeta-quantile_param_224,0.869853,0.885118,0.547891,0.989109
zeta-quantile_param_225,0.859912,0.901128,0.549141,0.994502
zeta-quantile_param_226,0.832951,0.820496,0.562756,0.997285
zeta-quantile_param_227,0.932350,0.961835,0.420288,0.999465
zeta-quantile_param_228,0.746946,0.745472,0.568079,0.921132
zeta-quantile_param_229,0.775326,0.788383,0.528328,0.913458
zeta-quantile_param_230,0.812442,0.816834,0.628425,0.950145
zeta-quantile_param_231,0.680532,0.678268,0.491271,0.847820
zeta-quantile_param_232,0.493204,0.495246,0.283196,0.796918
zeta-quantile_param_233,0.074283,0.047762,0.007251,0.337908
zeta-quantile_param_234,0.601189,0.599585,0.409654,0.782840
zeta-quantile_param_235,0.630069,0.633716,0.458897,0.787138
zeta-quantile_param_236,0.530422,0.529864,0.394158,0.673886
zeta-quantile_param_237,0.646115,0.637987,0.507904,0.844331
zeta-quantile_param_238,0.602079,0.601109,0.474696,0.755982
zeta-quantile_param_239,0.819554,0.846739,0.401325,0.965801
zeta-quantile_param_240,0.746435,0.738929,0.522200,0.947056
zeta-quantile_param_241,0.597677,0.587722,0.422343,0.804061
zeta-quantile_param_242,0.761051,0.798817,0.370048,0.965210
zeta-quantile_param_243,0.053317,0.053301,0.020164,0.108337
zeta-quantile_param_244,0.048753,0.048215,0.009215,0.109026
zeta-quantile_param_245,0.785438,0.782435,0.634005,0.932257
zeta-quantile_param_246,0.836412,0.858172,0.478568,0.962602
zeta-quantile_param_247,0.600092,0.597009,0.387457,0.754212
zeta-quantile_param_248,0.600717,0.609778,0.318044,0.864234
zeta-quantile_param_249,0.799100,0.781875,0.615257,0.973579
zeta-quantile_param_250,0.692713,0.750476,0.348349,0.963876
zeta-quantile_param_251,0.717436,0.699753,0.447385,0.947047
zeta-quantile_param_252,0.661517,0.682983,0.246723,0.948440
zeta-quantile_param_253,0.723720,0.748671,0.365779,0.919169
zeta-quantile_param_254,0.696438,0.677032,0.567943,0.878195
zeta-quantile_param_255,0.612767,0.619878,0.373988,0.813571
zeta-quantile_param_256,0.316793,0.336820,0.059964,0.517578
zeta-quantile_param_257,0.591454,0.593354,0.315694,0.787822
zeta-quantile_param_258,0.541720,0.492289,0.319982,0.897677
zeta-quantile_param_259,0.747099,0.703990,0.502825,0.991213
zeta-quantile_param_260,0.879066,0.935653,0.489946,0.995335
zeta-quantile_param_261,0.694240,0.677598,0.316374,0.952659
zeta-quantile_param_262,0.501277,0.502356,0.328018,0.682913
zeta-quantile_param_263,0.649801,0.627212,0.377288,0.914125
zeta-quantile_param_264,0.687952,0.678370,0.572130,0.815757
zeta-quantile_param_265,0.686353,0.685638,0.521851,0.834975
zeta-quantile_param_266,0.634239,0.642944,0.466770,0.800527
zeta-quantile_param_267,0.746416,0.759020,0.468311,0.901180
zeta-quantile_param_268,0.867449,0.922764,0.539418,0.970714
zeta-quantile_param_269,0.829668,0.837171,0.575996,0.991339
zeta-quantile_param_270,0.739380,0.732009,0.529810,0.945854
zeta-quantile_param_271,0.247996,0.246695,0.119094,0.404278
zeta-quantile_param_272,0.809615,0.823296,0.504554,0.951001
zeta-quantile_param_273,0.799734,0.809520,0.522409,0.976841
zeta-quantile_param_274,0.777292,0.781470,0.583695,0.935533
zeta-quantile_param_275,0.788030,0.801990,0.473558,0.979517
zeta-quantile_param_276,0.906679,0.928923,0.580353,0.999927
zeta-quantile_param_277,0.778753,0.850969,0.213065,0.975373
zeta-quantile_param_278,0.892492,0.930535,0.563658,0.999300
zeta-quantile_param_279,0.833202,0.888044,0.242931,0.985462
zeta-quantile_param_280,0.159310,0.170034,0.027375,0.287142
zeta-quantile_param_281,0.737954,0.744259,0.520547,0.858175
zeta-quantile_param_282,0.721854,0.751005,0.423708,0.885113
zeta-quantile_param_283,0.765319,0.767027,0.563293,0.904277
zeta-quantile_param_284,0.741418,0.720223,0.564849,0.947589
zeta-quantile_param_285,0.554199,0.548378,0.405926,0.774229
zeta-quantile_param_286,0.639921,0.634565,0.494721,0.769550
zeta-quantile_param_287,0.741259,0.744468,0.470419,0.949434
zeta-quantile_param_288,0.168927,0.129734,0.002737,0.564172
zeta-quantile_param_289,0.398902,0.397597,0.112230,0.738064
zeta-quantile_param_290,0.756043,0.765748,0.527765,0.931757
zeta-quantile_param_291,0.793185,0.797116,0.426487,0.972354
zeta-quantile_param_292,0.774910,0.781940,0.445453,0.962697
zeta-quantile_param_293,0.888816,0.903120,0.696411,0.989575
zeta-quantile_param_294,0.753523,0.750332,0.577634,0.929488
zeta-quantile_param_295,0.531665,0.530831,0.378633,0.679396
zeta-quantile_param_296,0.703886,0.697390,0.564366,0.835750
zeta-quantile_param_297,0.653458,0.639492,0.543996,0.789484
zeta-quantile_param_298,0.769938,0.773752,0.558670,0.921061
zeta-quantile_param_299,0.546852,0.552646,0.363579,0.690751
zeta-quantile_param_300,0.611844,0.618314,0.381804,0.822157
zeta-quantile_param_301,0.490486,0.471157,0.386612,0.710239
zeta-quantile_param_302,0.726122,0.728014,0.431169,0.933841
zeta-quantile_param_303,0.793266,0.808439,0.589053,0.932337
zeta-quantile_param_304,0.817655,0.916034,0.233812,0.997530
zeta-quantile_param_305,0.868175,0.876727,0.631208,0.984065
zeta-quantile_param_306,0.816427,0.845063,0.354202,0.996642
zeta-quantile_param_307,0.940036,0.978810,0.631707,0.999994
zeta-quantile_param_308,0.924660,0.943096,0.612224,0.999504
zeta-quantile_param_309,0.909703,0.924363,0.732650,0.995158
zeta-quantile_param_310,0.911439,0.924772,0.688974,0.993315
zeta-quantile_param_311,0.887985,0.908605,0.636403,0.995196
zeta-quantile_param_312,0.886360,0.907989,0.616513,0.998710
zeta-quantile_param_313,0.834171,0.823705,0.568545,0.996129
zeta-quantile_param_314,0.732165,0.722902,0.224126,0.999009
zeta-quantile_param_315,0.739983,0.751601,0.324830,0.941418
zeta-quantile_param_316,0.882017,0.898278,0.629510,0.995260
zeta-quantile_param_317,0.892482,0.914044,0.550307,0.991875
zeta-quantile_param_318,0.880280,0.898906,0.603052,0.992772
zeta-quantile_param_319,0.867240,0.883732,0.615087,0.977533
zeta-quantile_param_320,0.830711,0.837441,0.537433,0.981780
zeta-quantile_param_321,0.667778,0.669681,0.268654,0.993917
zeta-quantile_param_322,0.886880,0.880695,0.650939,0.997742
zeta-quantile_param_323,0.766729,0.773268,0.600223,0.928582
zeta-quantile_param_324,0.701189,0.687247,0.439016,0.953577
zeta-quantile_param_325,0.680164,0.662526,0.368080,0.964939
zeta-quantile_param_326,0.685658,0.692973,0.391318,0.899547
zeta-quantile_param_327,0.892426,0.916174,0.623482,0.980051
zeta-quantile_param_328,0.757429,0.769846,0.385998,0.981925
zeta-quantile_param_329,0.899121,0.925371,0.602364,0.996051
